11775
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 172e extrait>,<>,<>
des,le,71
cheveux,cheveu,21
gris,gris,30
sur,sur,81
des,de,81
des,le,71
têtes,tête,22
vides,vide,30
n',ne,60
ayant,avoir,13
jamais,jamais,60
rien,rien,52
contenu,contenir,12
;,;,p
tapis,tapis,21
dans,dans,81
les,le,71
creux,creux,21
des,de,81
des,le,71
chemins,chemin,21
",",",",p
ils,ils,51
étaient,être,18
de,de,81
la,le,71
même,même,75
couleur,couleur,22
que,que,83
la,le,71
terre,terre,22
d',de,81
où,où,60
ils,ils,51
semblaient,sembler,18
n',ne,60
être,être,14
qu',que,83
incomplètement,incomplètement,60
sortis,sortir,12
",",",",p
et,et,82
où,où,60
ils,ils,51
allaient,aller,18
rentrer,rentrer,14
bientôt,bientôt,60
sans,sans,81
avoir,avoir,14
eu,avoir,12
de,de,81
pensées,pensée,22
;,;,p
leurs,leur,73
yeux,oeil,21
égarés,égaré,31
inquiétaient,inquiéter,18
comme,comme,83
le,le,71
mystère,mystère,21
de,de,81
leurs,leur,73
existences,existence,22
avortées,avorté,31
et,et,82
inutiles,inutile,30
/.,/.,P
ils,ils,51
regardaient,regarder,18
passer,passer,14
",",",",p
sans,sans,81
comprendre,comprendre,14
",",",",p
cette,ce,74
fête,fête,22
de,de,81
la,le,71
vie,vie,22
pleine,plein,30
et,et,82
superbe,superbe,30
/…,/…,P
on,on,51
continua,continuer,19
de,de,81
marcher,marcher,14
au-delà,au-delà,60
du,de,81
du,le,71
hameau,hameau,21
de,de,81
Pors-Even,Pors-Even,20
et,et,82
de,de,81
la,le,71
maison,maison,22
des,de,81
des,le,71
Gaos,Gaos,20
/.,/.,P
c',ce,52
était,être,18
pour,pour,81
se,se,51
rendre,rendre,14
",",",",p
suivant,suivre,13
l',le,71
usage,usage,21
traditionnel,traditionnel,30
des,de,81
des,le,71
mariés,marié,21
du,de,81
du,le,71
pays,pays,21
de,de,81
Ploubazlanec,Ploubazlanec,20
",",",",p
à,à,81
la,le,71
chapelle,chapelle,22
de,de,81
la,le,71
Trinité,Trinité,20
",",",",p
qui,qui,52
est,être,17
comme,comme,83
au,à,81
au,le,71
bout,bout,21
du,de,81
du,le,71
monde,monde,21
breton,breton,30
/.,/.,P
au,à,81
au,le,71
pied,pied,21
de,de,81
la,le,71
dernière,dernier,30
et,et,82
extrême,extrême,30
falaise,falaise,22
",",",",p
elle,il,51
pose,poser,17
sur,sur,81
un,un,71
seuil,seuil,21
de,de,81
roches,roche,22
basses,bas,30
",",",",p
tout,tout,60
près,près,81
des,de,81
des,le,71
eaux,eau,22
",",",",p
et,et,82
semble,sembler,17
déjà,déjà,60
appartenir,appartenir,14
à,à,81
la,le,71
mer,mer,22
/.,/.,P
pour,pour,81
y,y,52
descendre,descendre,14
",",",",p
on,on,51
prend,prendre,17
un,un,71
sentier,sentier,21
de,de,81
chèvre,chèvre,22
parmi,parmi,81
des,de,81
des,le,71
blocs,bloc,21
de,de,81
granit,granit,21
/.,/.,P
et,et,82
le,le,71
cortège,cortège,21
de,de,81
noces,noce,22
se,se,51
répandit,répandre,19
sur,sur,81
la,le,71
pente,pente,22
de,de,81
ce,ce,74
cap,cap,21
isolé,isolé,31
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
pierres,pierre,22
",",",",p
les,le,71
paroles,parole,22
joyeuses,joyeux,30
ou,ou,82
galantes,galant,30
se,se,51
perdant,perdre,13
tout,tout,60
à,à,81
fait,fait,21
dans,dans,81
le,le,71
bruit,bruit,21
du,de,81
du,le,71
vent,vent,21
et,et,82
des,de,81
des,le,71
lames,lame,22
/.,/.,P
impossible,impossible,30
d',de,81
atteindre,atteindre,14
cette,ce,74
chapelle,chapelle,22
;,;,p
par,par,81
ce,ce,74
gros,gros,30
temps,temps,21
",",",",p
le,le,71
passage,passage,21
n',ne,60
était,être,18
pas,pas,60
sûr,sûr,30
",",",",p
la,le,71
mer,mer,22
venait,venir,18
trop,trop,60
près,près,81
pour,pour,81
frapper,frapper,14
ses,son,73
grands,grand,30
coups,coup,21
/.,/.,P
on,on,51
voyait,voir,18
bondir,bondir,14
très,très,60
haut,haut,60
ses,son,73
gerbes,gerbe,22
blanches,blanc,30
qui,qui,52
",",",",p
en,en,81
retombant,retomber,13
",",",",p
se,se,51
déployaient,déployer,18
pour,pour,81
tout,tout,52
inonder,inonder,14
/.,/.,P
Yann,Yann,20
",",",",p
qui,qui,52
s',se,51
était,être,18
le,le,71
plus,plus,60
avancé,avancer,12
",",",",p
avec,avec,81
Gaud,Gaud,20
appuyée,appuyé,31
à,à,81
son,son,73
bras,bras,21
",",",",p
recula,reculer,19
le,le,71
premier,premier,72
devant,devant,81
les,le,71
embruns,embrun,21
/.,/.,P
en,en,81
arrière,arrière,21
",",",",p
son,son,73
cortège,cortège,21
restait,rester,18
échelonné,échelonné,31
sur,sur,81
les,le,71
roches,roche,22
",",",",p
en,en,81
amphithéâtre,amphithéâtre,21
",",",",p
et,et,82
lui,lui,51
",",",",p
semblait,sembler,18
être,être,14
venu,venir,12
là,là,60
pour,pour,81
présenter,présenter,14
sa,son,73
femme,femme,22
à,à,81
la,le,71
mer,mer,22
;,;,p
mais,mais,82
celle-ci,celui-ci,52
faisait,faire,18
mauvais,mauvais,30
visage,visage,21
à,à,81
la,le,71
mariée,mariée,22
nouvelle,nouveau,30
/.,/.,P
en,en,81
se,se,51
retournant,retourner,13
",",",",p
il,il,51
aperçut,apercevoir,19
le,le,71
violonaire,violonaire,21
",",",",p
perché,perché,31
sur,sur,81
un,un,71
rocher,rocher,21
gris,gris,30
et,et,82
cherchant,chercher,13
à,à,81
rattraper,rattraper,14
",",",",p
entre,entre,81
deux,deux,72
rafales,rafale,22
",",",",p
son,son,73
air,air,21
de,de,81
contredanse,contredanse,22
/.,/.,P
-,-,p
ramasse,ramasser,17
ta,ton,73
musique,musique,22
",",",",p
mon,mon,73
ami,ami,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
;,;,p
la,le,71
mer,mer,22
nous,nous,51
en,en,52
joue,jouer,17
d',de,81
une,un,71
autre,autre,52
qui,qui,52
marche,marcher,17
mieux,mieux,60
que,que,83
la,le,71
tienne,tien,52
/…,/…,P
en,en,81
même,même,75
temps,temps,21
commença,commencer,19
une,un,71
grande,grand,30
pluie,pluie,22
fouettante,fouettant,30
qui,qui,52
menaçait,menacer,18
depuis,depuis,81
le,le,71
matin,matin,21
/.,/.,P
alors,alors,60
ce,ce,52
fut,être,19
une,un,71
débandade,débandade,22
folle,fou,30
avec,avec,81
des,de,81
des,le,71
cris,cri,21
et,et,82
des,de,81
des,le,71
rires,rire,21
",",",",p
pour,pour,81
grimper,grimper,14
sur,sur,81
la,le,71
haute,haut,30
falaise,falaise,22
et,et,82
se,se,51
sauver,sauver,14
chez,chez,81
les,le,71
Gaos,Gaos,20
/…,/…,P
<VII>,<>,<>
le,le,71
dîner,dîner,21
de,de,81
noces,noce,22
se,se,51
fit,faire,19
chez,chez,81
les,le,71
parents,parent,21
d',de,81
Yann,Yann,20
",",",",p
à,à,81
cause,cause,22
de,de,81
ce,ce,74
logis,logis,21
de,de,81
Gaud,Gaud,20
",",",",p
qui,qui,52
était,être,18
bien,bien,60
pauvre,pauvre,30
/.,/.,P
ce,ce,52
fut,être,19
en,en,81
