11723
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 196e extrait>,<>,<>
y,y,52
a,avoir,17
aucune,aucun,75
raison,raison,22
d',de,81
estimer,estimer,14
que,que,83
ces,ce,74
mendiants,mendiant,21
",",",",p
rongés,rongé,31
d',de,81
ulcères,ulcère,21
et,et,82
de,de,81
vermine,vermine,22
",",",",p
sont,être,17
plus,plus,60
malheureux,malheureux,30
que,que,83
les,le,71
rois,roi,21
et,et,82
que,que,83
les,le,71
reines,reine,22
/.,/.,P
il,il,51
ne,ne,60
faut,falloir,17
même,même,60
pas,pas,60
dire,dire,14
qu',que,83
ils,ils,51
sont,être,17
plus,plus,60
pauvres,pauvre,30
",",",",p
si,si,83
",",",",p
comme,comme,83
il,il,51
paraît,paraître,17
",",",",p
le,le,71
liard,liard,21
que,que,52
cette,ce,74
goitreuse,goitreux,30
a,avoir,17
ramassé,ramasser,12
dans,dans,81
la,le,71
poussière,poussière,22
et,et,82
qu',que,52
elle,il,51
serre,serrer,17
sur,sur,81
son,son,73
coeur,coeur,21
en,en,81
bavant,baver,13
de,de,81
joie,joie,22
",",",",p
lui,lui,51
semble,sembler,17
plus,plus,60
précieux,précieux,30
que,que,83
n',ne,60
est,être,17
un,un,71
collier,collier,21
de,de,81
perles,perle,22
à,à,81
la,le,71
maîtresse,maîtresse,22
d',de,81
un,un,71
prince,prince,21
évêque,évêque,21
de,de,81
Cologne,Cologne,20
ou,ou,82
de,de,81
Salzbourg,Salzbourg,20
/.,/.,P
à,à,81
bien,bien,60
entendre,entendre,14
nos,notre,73
spirituels,spirituel,30
et,et,82
véritables,véritable,30
intérêts,intérêt,21
",",",",p
il,il,51
nous,nous,51
faudrait,falloir,16
envier,envier,14
l',le,71
existence,existence,22
de,de,81
ce,ce,74
cul-de-jatte,cul-de-jatte,21
qui,qui,52
rampe,ramper,17
vers,vers,81
vous,vous,51
sur,sur,81
les,le,71
mains,main,22
",",",",p
préférablement,préférablement,60
à,à,81
celle,celui,52
du,de,81
du,le,71
roi,roi,21
de,de,81
France,France,20
ou,ou,82
de,de,81
l',le,71
empereur,empereur,21
/.,/.,P
leur,leur,73
égal,égal,21
devant,devant,81
dieu,dieu,21
",",",",p
il,il,51
a,avoir,17
peut-être,peut-être,60
la,le,71
paix,paix,22
du,de,81
du,le,71
coeur,coeur,21
qu',que,52
ils,ils,51
n',ne,60
ont,avoir,17
point,point,60
et,et,82
les,le,71
trésors,trésor,21
inestimables,inestimable,30
de,de,81
l',le,71
innocence,innocence,22
/.,/.,P
mais,mais,82
serrez,serrer,17
vos,votre,73
jupes,jupe,22
",",",",p
mademoiselle,mademoiselle,22
",",",",p
de,de,81
peur,peur,22
qu',que,83
il,il,51
n',ne,60
y,y,52
introduise,introduire,17
la,le,71
vermine,vermine,22
dont,dont,52
je,je,51
le,le,52
vois,voir,17
couvert,couvert,31
/.,/.,P
ainsi,ainsi,60
parlait,parler,18
mon,mon,73
bon,bon,30
maître,maître,21
",",",",p
et,et,82
nous,nous,51
ne,ne,60
nous,nous,51
lassions,lasser,18
point,point,60
de,de,81
l',le,52
écouter,écouter,14
/.,/.,P
à,à,81
trois,trois,72
lieues,lieue,22
environ,environ,60
de,de,81
Montbard,Montbard,20
",",",",p
un,un,71
trait,trait,21
ayant,avoir,13
cassé,casser,12
et,et,82
les,le,71
