11804
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 139e extrait>,<>,<>
et,et,82
lui,lui,51
dit,dire,17
très,très,60
tranquillement,tranquillement,60
:,:,p
-,-,p
tout,tout,75
ceci,ceci,52
n',ne,60
est,être,17
rien,rien,52
",",",",p
mon,mon,73
garçon,garçon,21
",",",",p
et,et,82
tu,tu,51
aurais,avoir,16
été,être,12
joliment,joliment,60
bête,bête,30
de,de,81
te,tu,51
mettre,mettre,14
à,à,81
mort,mort,22
pour,pour,81
si,si,60
peu,peu,60
/.,/.,P
ton,ton,73
histoire,histoire,22
est,être,17
fort,fort,60
simple,simple,30
:,:,p
on,on,51
t',tu,51
a,avoir,17
chassé,chasser,12
du,de,81
du,le,71
collège,collège,21
",",",",p
-,-,p
ce,ce,52
qui,qui,52
",",",",p
par,par,81
parenthèse,parenthèse,22
",",",",p
est,être,17
un,un,71
grand,grand,30
bonheur,bonheur,21
pour,pour,81
toi,toi,51
…,…,p
eh,eh,93
bien,bien,60
",",",",p
il,il,51
faut,falloir,17
partir,partir,14
",",",",p
partir,partir,14
tout,tout,60
de,de,81
suite,suite,22
",",",",p
sans,sans,81
attendre,attendre,14
tes,ton,73
huit,huit,72
jours,jour,21
/…,/…,P
tu,tu,51
n',ne,60
es,être,17
pas,pas,60
une,un,71
cuisinière,cuisinière,22
",",",",p
ventrebleu,ventrebleu,93
!,!,p
/…,/…,P
ton,ton,73
voyage,voyage,21
",",",",p
tes,ton,73
dettes,dette,22
",",",",p
ne,ne,60
t',tu,51
en,en,52
inquiète,inquiéter,17
pas,pas,60
je,je,51
m',je,51
en,en,52
charge,charger,17
/…,/…,P
l',le,71
argent,argent,21
que,que,52
tu,tu,51
voulais,vouloir,18
emprunter,emprunter,14
à,à,81
ce,ce,74
coquin,coquin,21
",",",",p
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
te,tu,51
le,le,52
prêterai,prêter,15
/.,/.,P
nous,nous,51
réglerons,régler,15
tout,tout,75
cela,cela,52
demain,demain,60
/…,/…,P
à,à,81
présent,présent,21
",",",",p
plus,plus,60
un,un,71
mot,mot,21
!,!,p
j',je,51
ai,avoir,17
besoin,besoin,21
de,de,81
travailler,travailler,14
",",",",p
et,et,82
tu,tu,51
as,avoir,17
besoin,besoin,21
de,de,81
dormir,dormir,14
