11595
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 175e extrait>,<>,<>
mordis,mordre,19
ma,mon,73
lèvre,lèvre,22
au,à,81
au,le,71
sang,sang,21
dans,dans,81
un,un,71
effort,effort,21
surhumain,surhumain,30
",",",",p
pour,pour,81
arrêter,arrêter,14
le,le,71
tremblement,tremblement,21
du,de,81
du,le,71
désir,désir,21
",",",",p
qui,qui,52
pouvait,pouvoir,18
tout,tout,52
révéler,révéler,14
à,à,81
ces,ce,74
pauvres,pauvre,30
gens,gens,21
sans,sans,81
défiance,défiance,22
",",",",p
et,et,82
c',ce,52
est,être,17
alors,alors,60
que,que,83
mes,mon,73
yeux,oeil,21
cherchèrent,chercher,19
l',le,71
autre,autre,52
de,de,81
ces,ce,74
deux,deux,72
mains,main,22
que,que,52
je,je,51
n',ne,60
avais,avoir,18
jamais,jamais,60
remarquées,remarquer,12
",",",",p
et,et,82
qui,qui,52
",",",",p
dans,dans,81
ce,ce,74
périlleux,périlleux,30
moment,moment,21
",",",",p
tournait,tourner,18
froidement,froidement,60
le,le,71
bouton,bouton,21
d',de,81
une,un,71
lampe,lampe,22
qu',que,52
on,on,51
venait,venir,18
de,de,81
mettre,mettre,14
sur,sur,81
la,le,71
table,table,22
",",",",p
car,car,82
le,le,71
jour,jour,21
commençait,commencer,18
de,de,81
tomber,tomber,14
/…,/…,P
je,je,51
la,le,52
regardai,regarder,19
/…,/…,P
c',ce,52
était,être,18
donc,donc,82
là,là,60
la,le,71
soeur,soeur,22
de,de,81
cette,ce,74
main,main,22
que,que,52
je,je,51
sentais,sentir,18
pénétrant,pénétrer,13
la,le,71
mienne,mien,52
",",",",p
comme,comme,83
un,un,71
foyer,foyer,21
d',de,81
où,où,60
rayonnaient,rayonner,18
et,et,82
s',se,51
étendaient,étendre,18
le,le,71
long,long,21
de,de,81
mes,mon,73
veines,veine,22
d',de,81
immenses,immense,30
lames,lame,22
de,de,81
feu,feu,21
/!,/!,P
cette,ce,74
main,main,22
",",",",p
un,un,71
peu,peu,60
épaisse,épais,30
",",",",p
mais,mais,82
aux,à,81
aux,le,71
doigts,doigt,21
longs,long,30
et,et,82
bien,bien,60
tournés,tourné,31
",",",",p
au,à,81
au,le,71
bout,bout,21
desquels,de,81
desquels,lequel,52
la,le,71
lumière,lumière,22
de,de,81
la,le,71
lampe,lampe,22
",",",",p
qui,qui,52
tombait,tomber,18
d',de,81
aplomb,aplomb,21
sur,sur,81
elle,il,51
",",",",p
allumait,allumer,18
des,de,81
des,le,71
transparences,transparence,22
roses,rose,30
",",",",p
ne,ne,60
tremblait,trembler,18
pas,pas,60
et,et,82
faisait,faire,18
son,son,73
petit,petit,30
travail,travail,21
d',de,81
arrangement,arrangement,21
de,de,81
la,le,71
lampe,lampe,22
",",",",p
pour,pour,81
la,le,52
faire,faire,14
aller,aller,14
",",",",p
avec,avec,81
une,un,71
fermeté,fermeté,22
",",",",p
une,un,71
aisance,aisance,22
et,et,82
une,un,71
gracieuse,gracieux,30
langueur,langueur,22
de,de,81
mouvement,mouvement,21
incomparables,incomparable,30
/!,/!,P
cependant,cependant,82
nous,nous,51
ne,ne,60
pouvions,pouvoir,18
pas,pas,60
rester,rester,14
ainsi,ainsi,60
/…,/…,P
nous,nous,51
avions,avoir,18
besoin,besoin,21
de,de,81
nos,notre,73
mains,main,22
pour,pour,81
dîner,dîner,14
/…,/…,P
celle,celui,52
de,de,81
mademoiselle,mademoiselle,22
Alberte,Alberte,20
quitta,quitter,19
donc,donc,82
la,le,71
mienne,mien,52
;,;,p
mais,mais,82
au,à,81
au,le,71
moment,moment,21
où,où,60
elle,il,51
la,le,52
quitta,quitter,19
",",",",p
son,son,73
pied,pied,21
",",",",p
aussi,aussi,60
expressif,expressif,30
que,que,83
sa,son,73
main,main,22
",",",",p
s',se,51
appuya,appuyer,19
avec,avec,81
le,le,71
même,même,75
aplomb,aplomb,21
",",",",p
la,le,71
même,même,75
passion,passion,22
",",",",p
la,le,71
même,même,75
souveraineté,souveraineté,22
",",",",p
sur,sur,81
mon,mon,73
pied,pied,21
",",",",p
et,et,82
y,y,52
resta,rester,19
tout,tout,75
le,le,71
temps,temps,21
que,que,83
dura,durer,19
ce,ce,74
dîner,dîner,21
trop,trop,60
court,court,30
",",",",p
lequel,lequel,52
me,je,51
donna,donner,19
la,le,71
sensation,sensation,22
d',de,81
un,un,52
de,de,81
ces,ce,74
bains,bain,21
insupportablement,insupportablement,60
brûlants,brûlant,30
d'abord,d'abord,60
",",",",p
mais,mais,82
auxquels,à,81
auxquels,lequel,52
on,on,51
s',se,51
accoutume,accoutumer,17
",",",",p
et,et,82
dans,dans,81
lesquels,lequel,52
on,on,51
finit,finir,17
par,par,81
se,se,51
trouver,trouver,14
si,si,60
bien,bien,60
",",",",p
qu',que,83
on,on,51
croirait,croire,16
volontiers,volontiers,60
qu',que,83
un,un,71
jour,jour,21
les,le,71
damnés,damné,21
pourraient,pouvoir,16
se,se,51
trouver,trouver,14
fraîchement,fraîchement,60
et,et,82
suavement,suavement,60
dans,dans,81
les,le,71
brasiers,brasier,21
de,de,81
leur,leur,73
enfer,enfer,21
",",",",p
comme,comme,83
les,le,71
poissons,poisson,21
dans,dans,81
leur,leur,73
eau,eau,22
!,!,p
/…,/…,P
je,je,51
vous,vous,51
laisse,laisser,17
à,à,81
penser,penser,14
si,si,83
je,je,51
dînai,dîner,19
ce,ce,74
jour,jour,21
là,là,60
",",",",p
et,et,82
si,si,83
je,je,51
me,je,51
mêlai,mêler,19
beaucoup,beaucoup,60
aux,à,81
aux,le,71
