11529
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 158e extrait>,<>,<>
froid,froid,21
/.,/.,P
“,“,p
tu,tu,51
viens,venir,17
d',de,81
en,en,52
échapper,échapper,14
d',de,81
une,un,71
belle,belle,22
!,!,p
“,“,p
me,je,51
cria,crier,19
le,le,71
sergent,sergent,21
en,en,81
se,se,51
mettant,mettre,13
à,à,81
courir,courir,14
;,;,p
et,et,82
moi,moi,51
qui,qui,52
ne,ne,60
voulais,vouloir,18
pas,pas,60
rester,rester,14
seul,seul,30
dans,dans,81
un,un,71
pareil,pareil,30
endroit,endroit,21
",",",",p
je,je,51
le,le,52
suivis,suivre,19
bien,bien,60
vite,vite,60
/.,/.,P
le,le,71
lieutenant,lieutenant,21
Bretonville,Bretonville,20
",",",",p
son,son,73
sabre,sabre,21
sous,sous,81
le,le,71
bras,bras,21
",",",",p
répétait,répéter,18
:,:,p
“,“,p
en,en,81
avant,avant,21
!,!,p
en,en,81
avant,avant,21
!,!,p
/…,/…,P
“,“,p
plus,plus,60
loin,loin,60
sur,sur,81
la,le,71
droite,droite,22
",",",",p
on,on,51
tirait,tirer,18
toujours,toujours,60
/.,/.,P
mais,mais,82
voilà,voilà,81
que,que,83
nous,nous,51
arrivons,arriver,17
au,à,81
au,le,71
bord,bord,21
d',de,81
une,un,71
clairière,clairière,22
ou,ou,82
se,se,51
trouvaient,trouver,18
cinq,cinq,72
ou,ou,82
six,six,72
gros,gros,30
troncs,tronc,21
de,de,81
chênes,chêne,21
abattus,abattu,31
",",",",p
une,un,71
petite,petit,30
mare,mare,22
pleine,plein,30
de,de,81
hautes,haut,30
herbes,herbe,22
",",",",p
et,et,82
pas,pas,60
un,un,71
seul,seul,30
arbre,arbre,21
pour,pour,81
nous,nous,51
couvrir,couvrir,14
/.,/.,P
malgré,malgré,81
cela,cela,52
",",",",p
plusieurs,plusieurs,75
s',se,51
avançaient,avancer,18
hardiment,hardiment,60
",",",",p
quand,quand,83
le,le,71
sergent,sergent,21
nous,nous,51
dit,dire,19
:,:,p
“,“,p
halte,halte,22
!,!,p
…,…,p
les,le,71
Prussiens,Prussien,20
sont,être,17
",",",",p
bien,bien,60
sûr,sûr,30
",",",",p
en,en,81
embuscade,embuscade,22
aux,à,81
aux,le,71
environs,environs,21
",",",",p
ouvrons,ouvrir,17
l',le,71
oeil,oeil,21
/.,/.,P
“,“,p
il,il,51
avait,avoir,18
à,à,81
peine,peine,22
dit,dire,12
cela,cela,52
",",",",p
qu',que,83
une,un,71
dizaine,dizaine,22
de,de,81
balles,balle,22
sifflaient,siffler,18
dans,dans,81
les,le,71
branches,branche,22
et,et,82
que,que,83
les,le,71
coups,coup,21
retentissaient,retentir,18
;,;,p
en,en,81
même,même,75
temps,temps,21
",",",",p
un,un,71
tas,tas,21
de,de,81
Prussiens,Prussien,20
allongeaient,allonger,18
les,le,71
jambes,jambe,22
et,et,82
entraient,entrer,18
plus,plus,60
loin,loin,60
dans,dans,81
le,le,71
fourré,fourré,21
/.,/.,P
“,“,p
les,le,52
voilà,voilà,81
partis,parti,31
/.,/.,P
en,en,81
route,route,22
!,!,p
“,“,p
dit,dire,19
Pinto,Pinto,20
/.,/.,P
mais,mais,82
le,le,71
coup,coup,21
de,de,81
fusil,fusil,21
de,de,81
mon,mon,73
shako,shako,21
m',je,51
avait,avoir,18
rendu,rendre,12
bien,bien,60
attentif,attentif,30
",",",",p
je,je,51
voyais,voir,18
en,en,81
quelque,quelque,75
sorte,sorte,22
à,à,81
travers,travers,21
les,le,71
arbres,arbre,21
;,;,p
et,et,82
comme,comme,83
le,le,71
sergent,sergent,21
voulait,vouloir,18
traverser,traverser,14
la,le,71
clairière,clairière,22
",",",",p
je,je,51
le,le,52
retins,retenir,19
par,par,81
le,le,71
bras,bras,21
en,en,81
lui,lui,51
montrant,montrer,13
le,le,71
bout,bout,21
d',de,81
un,un,71
fusil,fusil,21
qui,qui,52
dépassait,dépasser,18
une,un,71
grosse,gros,30
broussaille,broussaille,22
",",",",p
de,de,81
l',le,71
autre,autre,75
côté,côté,21
de,de,81
la,le,71
mare,mare,22
",",",",p
à,à,81
cent,cent,72
pas,pas,21
devant,devant,81
nous,nous,51
/.,/.,P
les,le,71
camarades,camarade,21
",",",",p
s',se,51
étant,être,13
approchés,approcher,12
",",",",p
le,le,52
virent,voir,19
aussi,aussi,60
;,;,p
c',ce,52
est,être,17
pourquoi,pourquoi,60
le,le,71
sergent,sergent,21
dit,dire,19
à,à,81
voix,voix,22
basse,bas,30
:,:,p
“,“,p
toi,toi,51
Bertha,Bertha,20
",",",",p
reste,rester,17
ici,ici,60
…,…,p
ne,ne,60
le,le,52
perds,perdre,17
pas,pas,60
de,de,81
vue,vue,22
/.,/.,P
nous,nous,51
autres,autre,30
",",",",p
nous,nous,51
allons,aller,17
tourner,tourner,14
la,le,71
position,position,22
/.,/.,P
“,“,p
aussitôt,aussitôt,60
ils,ils,51
s',se,51
éloignèrent,éloigner,19
à,à,81
droite,droite,22
et,et,82
à,à,81
gauche,gauche,22
",",",",p
et,et,82
moi,moi,51
",",",",p
la,le,71
crosse,crosse,22
à,à,81
l',le,71
épaule,épaule,22
",",",",p
derrière,derrière,81
mon,mon,73
arbre,arbre,21
",",",",p
j',je,51
attendis,attendre,19
comme,comme,83
un,un,71
chasseur,chasseur,21
à,à,81
l',le,71
affût,affût,21
/.,/.,P
au,à,81
au,le,71
bout,bout,21
de,de,81
deux,deux,72
ou,ou,82
trois,trois,72
minutes,minute,22
",",",",p
le,le,71
Prussien,Prussien,20
",",",",p
qui,qui,52
n',ne,60
entendait,entendre,18
plus,plus,60
rien,rien,52
",",",",p
