11544
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 102e extrait>,<>,<>
",",",",p
énormes,énorme,30
et,et,82
entourées,entouré,31
de,de,81
brillants,brillant,21
",",",",p
boutonnaient,boutonner,18
ce,ce,74
corsage,corsage,21
sur,sur,81
lequel,lequel,52
jouait,jouer,18
la,le,71
longue,long,30
chaîne,chaîne,22
d',de,81
or,or,21
mince,mince,30
et,et,82
semée,semé,31
de,de,81
pierres,pierre,22
changeantes,changeant,30
qui,qui,52
retenait,retenir,18
la,le,71
montre,montre,22
/.,/.,P
elle,il,51
était,être,18
coiffée,coiffer,12
d',de,81
un,un,71
chapeau,chapeau,21
très,très,60
petit,petit,30
",",",",p
composé,composé,31
de,de,81
deux,deux,72
ailes,aile,22
pailletées,pailleté,30
de,de,81
jais,jais,21
violet,violet,30
et,et,82
d',de,81
argent,argent,21
/.,/.,P
ce,ce,74
colifichet,colifichet,21
de,de,81
la,le,71
mode,mode,22
",",",",p
posé,posé,31
sur,sur,81
les,le,71
lourds,lourd,30
bandeaux,bandeau,21
de,de,81
cheveux,cheveu,21
noirs,noir,30
",",",",p
comme,comme,83
aussi,aussi,60
la,le,71
surcharge,surcharge,22
de,de,81
sa,son,73
toilette,toilette,22
",",",",p
contrastait,contraster,18
avec,avec,81
sa,son,73
physionomie,physionomie,22
non,non,60
moins,moins,60
que,que,83
l',le,71
occupation,occupation,22
où,où,60
elle,il,51
s',se,51
absorbait,absorber,18
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
sur,sur,81
ce,ce,74
visage,visage,21
de,de,81
femme,femme,22
était,être,18
empreint,empreindre,12
ce,ce,74
caractère,caractère,21
si,si,60
rare,rare,30
dans,dans,81
nos,notre,73
civilisations,civilisation,22
vieillissantes,vieillissant,30
",",",",p
la,le,71
grande,grand,30
beauté,beauté,22
",",",",p
celle,celui,52
qui,qui,52
résistera,résister,15
aux,à,81
aux,le,71
épreuves,épreuve,22
de,de,81
l',le,71
âge,âge,21
comme,comme,83
à,à,81
celle,celui,52
des,de,81
des,le,71
chagrins,chagrin,21
",",",",p
car,car,82
elle,il,51
réside,résider,17
dans,dans,81
les,le,71
portions,portion,22
essentielles,essentiel,30
des,de,81
des,le,71
traits,trait,21
:,:,p
la,le,71
forme,forme,22
de,de,81
la,le,71
tête,tête,22
",",",",p
la,le,71
coupe,coupe,22
du,de,81
du,le,71
front,front,21
",",",",p
la,le,71
construction,construction,22
de,de,81
la,le,71
mâchoire,mâchoire,22
",",",",p
l',le,71
orbe,orbe,21
des,de,81
des,le,71
paupières,paupière,22
/.,/.,P
quand,quand,83
on,on,51
savait,savoir,18
qu',que,83
un,un,71
peu,peu,60
de,de,81
sang,sang,21
grec,grec,30
coulait,couler,18
dans,dans,81
ses,son,73
veines,veine,22
",",",",p
la,le,71
noblesse,noblesse,22
classique,classique,30
de,de,81
son,son,73
visage,visage,21
s',se,51
expliquait,expliquer,18
aussitôt,aussitôt,60
/.,/.,P
son,son,73
père,père,21
",",",",p
le,le,71
général,général,21
de,de,81
Sallach,Sallach,20
",",",",p
alors,alors,60
aide,aide,21
de,de,81
camp,camp,21
du,de,81
du,le,71
commandant,commandant,21
militaire,militaire,30
à,à,81
Zara,Zara,20
",",",",p
avait,avoir,18
épousé,épouser,12
par,par,81
amour,amour,21
une,un,71
Monténégrine,Monténégrin,20
",",",",p
fille,fille,22
elle-même,lui-même,51
d',de,81
une,un,71
femme,femme,22
de,de,81
Salonique,Salonique,20
",",",",p
et,et,82
cette,ce,74
hérédité,hérédité,22
avait,avoir,18
pu,pouvoir,12
seule,seul,30
pétrir,pétrir,14
ce,ce,74
masque,masque,21
",",",",p
magnifique,magnifique,30
à,à,81
la,le,71
fois,fois,22
et,et,82
si,si,60
fin,fin,30
",",",",p
auquel,à,81
auquel,lequel,52
une,un,71
blancheur,blancheur,22
mate,mat,30
et,et,82
chaude,chaud,30
achevait,achever,18
de,de,81
donner,donner,14
un,un,71
vague,vague,30
reflet,reflet,21
oriental,oriental,30
/.,/.,P
les,le,71
yeux,oeil,21
seuls,seul,30
n',ne,60
avaient,avoir,18
pas,pas,60
ce,ce,74
luisant,luisant,30
heureux,heureux,30
ou,ou,82
passionné,passionné,31
des,de,81
des,le,71
yeux,oeil,21
d',de,81
Orient,Orient,20
/.,/.,P
ils,ils,51
étaient,être,18
d',de,81
une,un,71
nuance,nuance,22
indécise,indécis,30
",",",",p
bruns,brun,30
",",",",p
tirant,tirer,13
sur,sur,81
le,le,71
jaune,jaune,30
",",",",p
avec,avec,81
quelque,quelque,75
chose,chose,22
d',de,81
inéclairable,inéclairable,30
dans,dans,81
leur,leur,73
prunelle,prunelle,22
",",",",p
comme,comme,83
si,si,83
une,un,71
détresse,détresse,22
intime,intime,30
en,en,52
ternissait,ternir,18
le,le,71
regard,regard,21
/.,/.,P
il,il,51
s',se,51
y,y,52
lisait,lire,18
un,un,71
si,si,60
profond,profond,30
ennui,ennui,21
",",",",p
une,un,71
lassitude,lassitude,22
tellement,tellement,60
irrémédiable,irrémédiable,30
",",",",p
qu',que,83
après,après,81
avoir,avoir,14
une,un,71
fois,fois,22
discerné,discerner,12
cette,ce,74
expression,expression,22
",",",",p
malgré,malgré,81
soi,soi,51
l',l',94
on,on,51
se,se,51
prenait,prendre,18
à,à,81
plaindre,plaindre,14
cette,ce,74
femme,femme,22
si,si,60
comblée,comblé,31
en,en,81
apparence,apparence,22
",",",",p
et,et,82
l',l',94
on,on,51
éprouvait,éprouver,18
le,le,71
besoin,besoin,21
d',de,81
obéir,obéir,14
à,à,81
ses,son,73
moindres,moindre,30
désirs,désir,21
pour,pour,81
que,que,83
cet,ce,74
admirable,admirable,30
visage,visage,21
n',ne,60
eût,avoir,19
pas,pas,60
ce,ce,74
regard,regard,21
là,là,60
",",",",p
ne,ne,60
fût,être,19
ce,ce,52
qu',que,83
une,un,71
seconde,seconde,22
/.,/.,P
mais,mais,82
",",",",p
sans,sans,81
doute,doute,21
",",",",p
c',ce,52
était,être,18
un,un,71
simple,simple,30
effet,effet,21
de,de,81
physionomie,physionomie,22
et,et,82
qui,qui,52
n',ne,60
avait,avoir,18
rien,rien,52
à,à,81
voir,voir,14
avec,avec,81
l',le,71
âme,âme,22
",",",",p
car,car,82
ces,ce,74
yeux,oeil,21
gardaient,garder,18
cette,ce,74
expression,expression,22
singulière,singulier,30
à,à,81
ce,ce,74
moment,moment,21
même,même,30
où,où,60
la,le,71
baronne,baronne,22
Ely,Ely,20
se,se,51
livrait,livrer,18
à,à,81
la,le,71
fantaisie,fantaisie,22
folle,fou,30
de,de,81
son,son,73
jeu,jeu,21
/.,/.,P
elle,il,51
avait,avoir,18
dû,devoir,12
gagner,gagner,14
",",",",p
depuis,depuis,81
que,que,83
Corancez,Corancez,20
l',le,52
avait,avoir,18
quittée,quitter,12
",",",",p
des,de,81
des,le,71
sommes,somme,22
énormes,énorme,30
:,:,p
une,un,71
liasse,liasse,22
de,de,81
billets,billet,21
de,de,81
mille,mille,72
francs,franc,21
-,-,p
cinquante,cinquante,72
peut-être,peut-être,60
-,-,p
s',se,51
entassait,entasser,18
devant,devant,81
elle,il,51
",",",",p
et,et,82
toute,tout,75
une,un,71
architecture,architecture,22
de,de,81
pièces,pièce,22
de,de,81
vingt,vingt,72
ou,ou,82
de,de,81
cent,cent,72
francs,franc,21
rangées,rangé,31
par,par,81
colonnes,colonne,22
/.,/.,P
ses,son,73
doigts,doigt,21
gantés,ganté,31
",",",",p
armés,armé,31
d',de,81
un,un,52
peut,pouvoir,17
râteau,râteau,21
",",",",p
manoeuvraient,manoeuvrer,18
cet,ce,74
amas,amas,21
d',de,81
or,or,21
et,et,82
de,de,81
papier,papier,21
avec,avec,81
une,un,71
dextérité,dextérité,22
gracieuse,gracieux,30
",",",",p
et,et,82
-,-,p
ce,ce,52
qui,qui,52
lui,lui,51
valait,valoir,18
cette,ce,74
fièvre,fièvre,22
de,de,81
curiosité,curiosité,22
autour,autour,60
de,de,81
ses,son,73
martingales,martingale,22
-,-,p
elle,il,51
risquait,risquer,18
à,à,81
chaque,chaque,75
coup,coup,21
le,le,71
maximum,maximum,21
de,de,81
la,le,71
mise,mise,22
:,:,p
neuf,neuf,72
louis,louis,21
en,en,81
plein,plein,81
sur,sur,81
un,un,71
seul,seul,30
chiffre,chiffre,21
",",",",p
celui,celui,52
de,de,81
son,son,73
âge,âge,21
:,:,p
<Nombre 31>,<>,<>
trente,trente,72
et,et,82
un,un,72
<Fin nombre>,<>,<>
",",",",p
un,un,71
nombre,nombre,21
égal,égal,30
de,de,81
louis,louis,21
sur,sur,81
les,le,71
carrés,carré,21
",",",",p
et,et,82
six,six,72
mille,mille,72
francs,franc,21
sur,sur,81
la,le,71
noire,noir,30
/.,/.,P
les,le,71
alternatives,alternative,22
de,de,81
ses,son,73
pertes,perte,22
et,et,82
de,de,81
ses,son,73
gains,gain,21
étaient,être,18
si,si,60
fortes,fort,30
",",",",p
et,et,82
elle,il,51
les,le,52
supportait,supporter,18
avec,avec,81
une,un,71
si,si,60
évidente,évident,30
impassibilité,impassibilité,22
",",",",p
qu',que,83
elle,il,51
était,être,18
tout,tout,60
naturellement,naturellement,60
devenue,devenir,12
l',le,71
âme,âme,22
de,de,81
cette,ce,74
partie,partie,22
",",",",p
et,et,82
les,le,71
commentaires,commentaire,21
allaient,aller,18
leur,leur,73
train,train,21
",",",",p
mais,mais,82
elle,il,51
ne,ne,60
semblait,sembler,18
pas,pas,60
plus,plus,60
les,le,52
entendre,entendre,14
qu',que,83
elle,il,51
ne,ne,60
paraissait,paraître,18
s',se,51
intéresser,intéresser,14
aux,à,81
aux,le,71
allées,allée,22
et,et,82
venues,venue,22
de,de,81
la,le,71
bille,bille,22
dans,dans,81
les,le,71
cases,case,22
de,de,81
la,le,71
roulette,roulette,22
/.,/.,P
-,-,p
“,“,p
je,je,51
vous,vous,51
affirme,affirmer,17
que,que,83
c',ce,52
est,être,17
une,un,71
archiduchesse,archiduchesse,22
",",",",p
“,“,p
disait,dire,18
l',le,71
un,un,52
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
une,un,71
princesse,princesse,22
Russe,Russe,20
",",",",p
“,“,p
répondait,répondre,18
un,un,71
autre,autre,52
:,:,p
“,“,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
qu',que,83
une,un,71
Russe,Russe,20
pour,pour,81
jouer,jouer,14
ce,ce,74
jeu,jeu,21
là,là,60
/.,/.,P
“,“,p
-,-,p
“,“,p
son,son,73
numéro,numéro,21
est,être,17
sorti,sortir,12
trois,trois,72
fois,fois,22
en,en,81
plein,plein,30
tout,tout,60
à,à,81
l',le,71
heure,heure,22
;,;,p
qu',que,52
il,il,51
sorte,sortir,17
encore,encore,60
",",",",p
et,et,82
la,le,71
banque,banque,22
saute,sauter,17
/.,/.,P
“,“,p
-,-,p
“,“,p
mais,mais,82
non,non,60
",",",",p
elle,il,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
gagner,gagner,14
à,à,81
ce,ce,74
jeu,jeu,21
là,là,60
/…,/…,P
c',ce,52
est,être,17
