11150
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 133e extrait>,<>,<>
<III>,<>,<>
où,où,60
et,et,82
en,en,81
quelle,quel,75
posture,posture,22
monsieur,monsieur,21
de,de,81
Bréot,Bréot,20
retrouve,retrouver,17
monsieur,monsieur,21
Le Varlon,Le Varlon,20
de,de,81
Verrigny,Verrigny,20
/.,/.,P
monsieur,monsieur,21
de,de,81
Bréot,Bréot,20
fut,être,19
quelque,quelque,75
temps,temps,21
",",",",p
après,après,81
l',le,71
affaire,affaire,22
du,de,81
du,le,71
Verduron,Verduron,20
",",",",p
sans,sans,81
revoir,revoir,14
monsieur,monsieur,21
Le Varlon,Le Varlon,20
de,de,81
Verrigny,Verrigny,20
/.,/.,P
il,il,51
s',se,51
était,être,18
présenté,présenter,12
à,à,81
l',le,71
hôtel,hôtel,21
que,que,52
monsieur,monsieur,21
Le Varlon,Le Varlon,20
habitait,habiter,18
à,à,81
la,le,71
pointe,pointe,22
de,de,81
l',le,71
île,île,22
Saint-Louis,Saint-Louis,20
pour,pour,81
le,le,52
remercier,remercier,14
du,de,81
du,le,71
retour,retour,21
en,en,81
carrosse,carrosse,21
et,et,82
des,de,81
des,le,71
bons,bon,30
avis,avis,21
de,de,81
religion,religion,22
qu',que,52
il,il,51
lui,lui,51
avait,avoir,18
donnés,donner,12
au,à,81
au,le,71
cours,cours,21
de,de,81
la,le,71
route,route,22
",",",",p
tout,tout,60
en,en,81
mangeant,manger,13
les,le,71
grosses,gros,30
prunes,prune,22
à,à,81
petits,petit,30
noyaux,noyau,21
",",",",p
mais,mais,82
on,on,51
lui,lui,51
avait,avoir,18
dit,dire,12
à,à,81
la,le,71
porte,porte,22
que,que,83
monsieur,monsieur,21
Le Varlon,Le Varlon,20
était,être,18
absent,absent,30
/.,/.,P
de,de,81
cette,ce,74
fort,fort,60
belle,beau,30
demeure,demeure,22
de,de,81
monsieur,monsieur,21
Le Varlon,Le Varlon,20
de,de,81
Verrigny,Verrigny,20
",",",",p
monsieur,monsieur,21
de,de,81
Bréot,Bréot,20
n',ne,60
avait,avoir,18
vu,voir,12
cette,ce,74
fois,fois,22
que,que,83
les,le,71
hautes,haut,30
fenêtres,fenêtre,22
et,et,82
la,le,71
façade,façade,22
tournante,tournante,22
/.,/.,P
bâtie,bâti,31
une,un,71
dizaine,dizaine,22
d',de,81
années,année,22
auparavant,auparavant,60
",",",",p
on,on,51
disait,dire,18
tout,tout,60
bas,bas,60
que,que,83
",",",",p
pour,pour,81
en,en,52
avoir,avoir,14
l',le,71
argent,argent,21
",",",",p
monsieur,monsieur,21
Le Varlon,Le Varlon,20
avait,avoir,18
fort,fort,60
conseillé,conseiller,12
à,à,81
sa,son,73
soeur,soeur,22
cadette,cadet,30
",",",",p
mademoiselle,mademoiselle,22
Claudine,Claudine,20
Le Varlon,Le Varlon,20
",",",",p
de,de,81
rejoindre,rejoindre,14
au,à,81
au,le,71
cloître,cloître,21
son,son,73
aînée,aînée,22
",",",",p
mademoiselle,mademoiselle,22
Marguerite,Marguerite,20
Le Varlon,Le Varlon,20
",",",",p
qui,qui,52
",",",",p
sous,sous,81
le,le,71
nom,nom,21
de,de,81
mère,mère,22
Julie-Angélique,Julie-Angélique,20
",",",",p
était,être,18
religieuse,religieux,30
professe,professer,17
de,de,81
l',le,71
habit,habit,21
de,de,81
Port-Royal-des-Champs,Port Royal des Champs,20
/.,/.,P
cette,ce,74
Claudine,Claudine,20
",",",",p
sans,sans,81
aimer,aimer,14
le,le,71
monde,monde,21
",",",",p
n',ne,60
eût,avoir,19
pas,pas,60
songé,songer,12
peut-être,peut-être,60
à,à,81
s',se,51
en,en,52
retrancher,retrancher,14
si,si,83
son,son,73
frère,frère,21
ne,ne,60
lui,lui,51
eût,avoir,19
représenté,représenter,12
fortement,fortement,60
le,le,71
danger,danger,21
d',de,81
y,y,52
demeurer,demeurer,14
",",",",p
quand,quand,83
on,on,51
est,être,17
",",",",p
comme,comme,83
elle,il,51
était,être,18
",",",",p
de,de,81
figure,figure,22
agréable,agréable,30
et,et,82
d',de,81
esprit,esprit,21
timide,timide,30
/.,/.,P
ce,ce,74
bon,bon,30
frère,frère,21
fut,être,19
si,si,60
éloquent,éloquent,30
et,et,82
si,si,60
soutenu,soutenir,12
en,en,81
ses,son,73
discours,discours,21
que,que,83
la,le,71
douce,doux,30
demoiselle,demoiselle,22
",",",",p
au,à,81
au,le,71
tableau,tableau,21
qu',que,52
il,il,51
lui,lui,51
traçait,tracer,18
des,de,81
des,le,71
moeurs,moeurs,22
du,de,81
du,le,71
siècle,siècle,21
",",",",p
se,se,51
détermina,déterminer,19
à,à,81
prendre,prendre,14
le,le,71
voile,voile,21
aux,à,81
aux,le,71
Carmélites,Carmélite,20
de,de,81
Chaillot,Chaillot,20
/.,/.,P
ce,ce,74
beau,beau,30
succès,succès,21
n',ne,60
était,être,18
pas,pas,60
une,un,52
des,de,81
des,le,71
oeuvres,oeuvre,22
sur,sur,81
lesquelles,lequel,52
monsieur,monsieur,21
Le Varlon,Le Varlon,20
de,de,81
Verrigny,Verrigny,20
comptait,compter,18
le,le,71
moins,moins,60
pour,pour,81
balancer,balancer,14
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
dieu,dieu,21
",",",",p
le,le,71
poids,poids,21
de,de,81
ses,son,73
péchés,péché,21
/.,/.,P
le,le,71
seigneur,seigneur,21
ne,ne,60
pouvait,pouvoir,18
manquer,manquer,14
de,de,81
lui,lui,51
savoir,savoir,14
gré,gré,21
qu',que,83
il,il,51
eût,avoir,19
mené,mener,12
au,à,81
au,le,71
pied,pied,21
de,de,81
ses,son,73
autels,autel,21
une,un,71
âme,âme,22
aussi,aussi,60
pure,pur,30
que,que,83
celle,celui,52
de,de,81
cette,ce,74
véritable,véritable,30
agnelle,agnelle,22
/.,/.,P
elle,il,51
y,y,52
demeurait,demeurer,18
",",",",p
de,de,81
jour,jour,21
et,et,82
de,de,81
nuit,nuit,22
",",",",p
pour,pour,81
intercéder,intercéder,14
en,en,81
faveur,faveur,22
du,de,81
du,le,71
pécheur,pécheur,21
et,et,82
monsieur,monsieur,21
Le Varlon,Le Varlon,20
se,se,51
sentait,sentir,18
tout,tout,75
rassuré,rassuré,31
d',de,81
avoir,avoir,14
en,en,81
bon,bon,30
lieu,lieu,21
cette,ce,74
avocate,avocate,22
