11424
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 189e extrait>,<>,<>
moi,moi,51
",",",",p
et,et,82
ils,ils,51
me,je,51
tenaient,tenir,18
pourtant,pourtant,60
chacun,chacun,52
par,par,81
un,un,71
étroit,étroit,30
et,et,82
fort,fort,30
lien,lien,21
/.,/.,P
j',je,51
allais,aller,18
",",",",p
je,je,51
tremblais,trembler,18
de,de,81
l',le,71
un,un,52
à,à,81
l',le,71
autre,autre,52
",",",",p
dans,dans,81
une,un,71
inexprimable,inexprimable,30
sollicitude,sollicitude,22
",",",",p
comme,comme,83
un,un,71
fétu,fétu,21
agité,agité,31
par,par,81
les,le,71
vents,vent,21
",",",",p
comme,comme,83
l',le,71
aiguille,aiguille,22
aimantée,aimanté,31
hésitant,hésiter,13
avec,avec,81
fièvre,fièvre,22
entre,entre,81
trois,trois,72
pôles,pôle,21
différents,différent,30
et,et,82
qui,qui,52
font,faire,17
triangle,triangle,21
autour,autour,60
d',de,81
elle,il,51
",",",",p
comme,comme,83
ces,ce,74
grêlons,grêlon,21
de,de,81
grêle,grêle,22
",",",",p
au,à,81
au,le,71
dire,dire,21
des,de,81
des,le,71
physiciens,physicien,21
",",",",p
qu',que,52
attirent,attirer,17
et,et,82
repoussent,repousser,17
sans,sans,81
fin,fin,22
des,de,81
des,le,71
nuages,nuage,21
contraires,contraire,30
/.,/.,P
allées,allée,22
et,et,82
venues,venue,22
infructueuses,infructueux,30
",",",",p
épuisement,épuisement,21
fébrile,fébrile,30
dans,dans,81
de,de,81
grisâtres,grisâtre,30
intervalles,intervalle,21
",",",",p
c',ce,52
est,être,17
trop,trop,60
là,là,60
l',le,71
histoire,histoire,22
de,de,81
ma,mon,73
vie,vie,22
en,en,81
cet,ce,74
âge,âge,21
le,le,71
plus,plus,60
fécond,fécond,30
/.,/.,P
il,il,51
y,y,52
a,avoir,17
dans,dans,81
les,le,71
cercles,cercle,21
d',de,81
enfer,enfer,21
",",",",p
non,non,60
loin,loin,60
de,de,81
la,le,71
région,région,22
des,de,81
des,le,71
tièdes,tiède,21
",",",",p
ou,ou,82
peut-être,peut-être,60
au,à,81
au,le,71
bas,bas,21
des,de,81
des,le,71
rampes,rampe,22
du,de,81
du,le,71
purgatoire,purgatoire,21
",",",",p
une,un,71
plaine,plaine,22
non,non,60
décrite,décrit,31
",",",",p
seul,seul,30
endroit,endroit,21
que,que,52
Dante,Dante,20
et,et,82
son,son,73
divin,divin,30
guide,guide,21
n',ne,60
aient,avoir,17
pas,pas,60
visité,visiter,12
/.,/.,P
trois,trois,72
tours,tour,22
d',de,81
ivoire,ivoire,21
s',se,51
élèvent,élever,17
aux,à,81
aux,le,71
extrémités,extrémité,22
diverses,divers,30
de,de,81
cette,ce,74
plaine,plaine,22
",",",",p
plus,plus,60
ou,ou,82
moins,moins,60
belles,beau,30
et,et,82
éclairées,éclairé,31
de,de,81
loin,loin,60
à,à,81
leur,leur,73
cime,cime,22
",",",",p
mais,mais,82
séparées,séparé,31
par,par,81
des,de,81
des,le,71
ravins,ravin,21
",",",",p
des,de,81
des,le,71
marais,marais,21
",",",",p
des,de,81
des,le,71
torrents,torrent,21
peu,peu,60
guéables,guéable,30
",",",",p
et,et,82
chacune,chacun,52
à,à,81
une,un,71
journée,journée,22
et,et,82
demie,demi,30
de,de,81
marche,marche,22
des,de,81
des,le,71
deux,deux,72
autres,autre,52
/.,/.,P
un,un,71
pénitent,pénitent,21
voyageur,voyageur,30
chemine,cheminer,17
entre,entre,81
elles,ils,51
;,;,p
mais,mais,82
il,il,51
arrive,arriver,17
toujours,toujours,60
au,à,81
au,le,71
pied,pied,21
de,de,81
la,le,71
tour,tour,22
où,où,60
il,il,51
va,aller,17
",",",",p
après,après,81
que,que,83
le,le,71
soleil,soleil,21
est,être,17
couché,coucher,12
et,et,82
que,que,83
les,le,71
portes,porte,22
sont,être,17
closes,clore,12
/.,/.,P
il,il,51
repart,repartir,17
donc,donc,82
en,en,81
sueur,sueur,22
et,et,82
haletant,haleter,13
vers,vers,81
une,un,52
des,de,81
des,le,71
tours,tour,22
opposées,opposé,31
;,;,p
mais,mais,82
",",",",p
s',se,51
oubliant,oublier,13
",",",",p
hélas,hélas,60
/!,/!,P
quelques,quelque,75
heures,heure,22
dans,dans,81
les,le,71
marécages,marécage,21
et,et,82
les,le,71
fanges,fange,22
du,de,81
du,le,71
milieu,milieu,21
pour,pour,81
y,y,52
assoupir,assoupir,14
sa,son,73
fatigue,fatigue,22
",",",",p
il,il,51
n',ne,60
arrive,arriver,17
à,à,81
cette,ce,74
autre,autre,75
tour,tour,22
que,que,83
le,le,71
lendemain,lendemain,21
trop,trop,60
tard,tard,60
encore,encore,60
",",",",p
après,après,81
le,le,71
coucher,coucher,21
de,de,81
l',le,71
astre,astre,21
/.,/.,P
et,et,82
il,il,51
repart,repartir,17
de,de,81
nouveau,nouveau,21
",",",",p
jusqu',jusque,81
à,à,81
ce,ce,52
qu',que,52
il,il,51
arrive,arriver,17
à,à,81
la,le,71
troisième,troisième,72
;,;,p
mais,mais,82
elle,il,51
vient,venir,17
de,de,81
se,se,51
fermer,fermer,14
aussi,aussi,60
;,;,p
et,et,82
il,il,51
recommence,recommencer,17
toujours,toujours,60
/.,/.,P
c',ce,52
est,être,17
le,le,71
châtiment,châtiment,21
",",",",p
mon,mon,73
ami,ami,21
",",",",p
de,de,81
ceux,celui,52
qui,qui,52
ont,avoir,17
usé,user,12
leur,leur,73
jeunesse,jeunesse,22
comme,comme,83
moi,moi,51
",",",",p
et,et,82
ne,ne,60
l',le,52
ont,avoir,17
pas,pas,60
expiée,expier,12
/.,/.,P
le,le,71
jour,jour,21
d',de,81
après,après,81
(,(,p
car,car,82
il,il,51
vous,vous,51
faut,falloir,17
bien,bien,60
haleter,haleter,14
jour,jour,21
par,par,81
jour,jour,21
sur,sur,81
ma,mon,73
trace,trace,22
),),p
",",",",p
avide,avide,30
de,de,81
quelque,quelque,75
explication,explication,22
et,et,82
de,de,81
quelque,quelque,75
souffle,souffle,21
qui,qui,52
fit,faire,19
mouvement,mouvement,21
dans,dans,81
mon,mon,73
incertitude,incertitude,22
",",",",p
vers,vers,81
une,un,71
heure,heure,22
",",",",p
espérant,espérer,13
la,le,52
trouver,trouver,14
seule,seul,30
",",",",p
je,je,51
me,je,51
rendis,rendre,19
chez,chez,81
madame,madame,22
de,de,81
Couaën,Couaën,20
/.,/.,P
une,un,71
voiture,voiture,22
arrêtée,arrêté,31
à,à,81
la,le,71
porte,porte,22
extérieure,extérieur,30
me,je,51
contraria,contrarier,19
tout,tout,60
d'abord,d'abord,60
;,;,p
on,on,51
ne,ne,60
put,pouvoir,19
me,je,51
dire,dire,14
le,le,71
nom,nom,21
de,de,81
la,le,71
personne,personne,22
en,en,81
visite,visite,22
;,;,p
j',je,51
entrai,entrer,19
/.,/.,P
mademoiselle,mademoiselle,22
de,de,81
Liniers,Liniers,20
était,être,18
à,à,81
côté,côté,21
de,de,81
sa,son,73
nouvelle,nouveau,30
amie,amie,22
",",",",p
sur,sur,81
une,un,71
chaise,chaise,22
basse,bas,30
",",",",p
son,son,73
chapeau,chapeau,21
ôté,ôté,31
",",",",p
et,et,82
comme,comme,83
après,après,81
une,un,71
intimité,intimité,22
déjà,déjà,60
longue,long,30
/.,/.,P
Madeleine,Madeleine,20
et,et,82
Lucy,Lucy,20
debout,debout,60
à,à,81
l',le,71
autre,autre,75
fenêtre,fenêtre,22
contrastaient,contraster,18
doucement,doucement,60
avec,avec,81
le,le,71
groupe,groupe,21
maternel,maternel,30
",",",",p
attentives,attentif,30
qu',que,52
elles,ils,51
étaient,être,18
à,à,81
quelque,quelque,75
jeu,jeu,21
et,et,82
confondant,confondre,13
leurs,leur,73
chevelures,chevelure,22
/.,/.,P
pauvres,pauvre,30
enfants,enfant,21
!,!,p
puissent,pouvoir,17
elles,ils,51
avoir,avoir,14
ignoré,ignorer,12
toujours,toujours,60
combien,combien,60
il,il,51
est,être,17
parfois,parfois,60
douloureux,douloureux,30
et,et,82
sublime,sublime,30
à,à,81
deux,deux,72
femmes,femme,22
de,de,81
s',se,51
aimer,aimer,14
/!,/!,P
mademoiselle,mademoiselle,22
Amélie,Amélie,20
",",",",p
plus,plus,60
blanche,blanc,30
et,et,82
",",",",p
depuis,depuis,81
le,le,71
dernier,dernier,30
jour,jour,21
de,de,81
la,le,71
Gastine,Gastine,20
",",",",p
d',de,81
une,un,71
neige,neige,22
plus,plus,60
affermie,affermi,31
à,à,81
son,son,73
front,front,21
que,que,52
jamais,jamais,60
",",",",p
ne,ne,60
rougit,rougir,19
pas,pas,60
en,en,81
me,je,51
voyant,voir,13
:,:,p
elle,il,51
y,y,52
était,être,18
préparée,préparer,12
;,;,p
-,-,p
tout,tout,60
entière,entier,30
d',de,81
ailleurs,ailleurs,60
à,à,81
l',le,71
impression,impression,22
de,de,81
madame,madame,22
de,de,81
Couaën,Couaën,20
",",",",p
elle,il,51
ne,ne,60
recevait,recevoir,18
rien,rien,52
qu',que,83
à,à,81
l',le,71
ombre,ombre,22
de,de,81
cette,ce,74
figure,figure,22
enfin,enfin,60
connue,connu,31
",",",",p
qu',que,52
elle,il,51
avait,avoir,18
l',le,71
air,air,21
de,de,81
servir,servir,14
et,et,82
d',de,81
adorer,adorer,14
