12072
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 174e extrait>,<>,<>
lord,lord,21
Dudley,Dudley,20
m',je,51
a,avoir,17
envoyé,envoyer,12
d',de,81
Ecosse,Ecosse,20
des,de,81
des,le,71
grouses,grouse,22
(,(,p
coqs,coq,21
de,de,81
bruyère,bruyère,22
),),p
/.,/.,P
figurez,figurer,17
vous,vous,51
que,que,83
c',ce,52
est,être,17
quelque,quelque,75
chose,chose,22
de,de,81
monstrueux,monstrueux,30
/…,/…,P
c',ce,52
est,être,17
dit,dire,12
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
et,et,82
le,le,71
duc,duc,21
rejoignit,rejoindre,19
sa,son,73
femme,femme,22
et,et,82
Conrad,Conrad,20
/.,/.,P
Saint-Remy,Saint-Remy,20
",",",",p
resté,resté,31
seul,seul,30
sur,sur,81
le,le,71
perron,perron,21
",",",",p
vit,voir,19
la,le,71
voiture,voiture,22
partir,partir,14
/.,/.,P
la,le,71
sienne,sien,52
s',se,51
avança,avancer,19
/.,/.,P
il,il,51
y,y,52
monta,monter,19
en,en,81
jetant,jeter,13
un,un,71
regard,regard,21
de,de,81
colère,colère,22
",",",",p
de,de,81
haine,haine,22
et,et,82
de,de,81
désespoir,désespoir,21
sur,sur,81
cette,ce,74
maison,maison,22
",",",",p
où,où,60
il,il,51
était,être,18
entré,entrer,12
si,si,60
souvent,souvent,60
en,en,81
maître,maître,21
",",",",p
et,et,82
qu',que,52
il,il,51
quittait,quitter,18
ignominieusement,ignominieusement,60
chassé,chassé,31
/.,/.,P
-,-,p
chez,chez,81
moi,moi,51
-,-,p
dit,dire,19
il,il,51
brusquement,brusquement,60
/.,/.,P
-,-,p
à,à,81
l',le,71
hôtel,hôtel,21
!,!,p
dit,dire,19
le,le,71
valet,valet,21
de,de,81
pied,pied,21
à,à,81
Edwards,Edwards,20
",",",",p
en,en,81
fermant,fermer,13
la,le,71
portière,portière,22
/.,/.,P
on,on,51
comprend,comprendre,17
quelles,quel,52
furent,être,19
les,le,71
pensées,pensée,22
amères,amer,30
et,et,82
désolantes,désolant,30
de,de,81
Saint-Remy,Saint-Remy,20
en,en,81
revenant,revenir,13
chez,chez,81
lui,lui,51
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
rentra,rentrer,19
",",",",p
Boyer,Boyer,20
",",",",p
qui,qui,52
l',le,52
attendait,attendre,18
sous,sous,81
le,le,71
péristyle,péristyle,21
",",",",p
lui,lui,51
dit,dire,19
:,:,p
-,-,p
monsieur,monsieur,21
le,le,71
comte,comte,21
est,être,17
en,en,81
haut,haut,21
qui,qui,52
attend,attendre,17
monsieur,monsieur,21
le,le,71
vicomte,vicomte,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
/…,/…,P
-,-,p
il,il,51
y,y,52
a,avoir,17
aussi,aussi,60
là,là,60
un,un,71
homme,homme,21
à,à,81
qui,qui,52
monsieur,monsieur,21
le,le,71
vicomte,vicomte,21
a,avoir,17
donné,donner,12
rendez-vous,rendez-vous,21
à,à,81
dix,dix,72
heures,heure,22
",",",",p
monsieur,monsieur,21
Petit-Jean,Petit-Jean,20
/…,/…,P
-,-,p
bien,bien,60
",",",",p
bien,bien,60
/.,/.,P
oh,oh,93
!,!,p
quelle,quel,75
soirée,soirée,22
!,!,p
-,-,p
dit,dire,19
Florestan,Florestan,20
en,en,81
montant,monter,13
rejoindre,rejoindre,14
son,son,73
père,père,21
",",",",p
qu',que,52
il,il,51
trouva,trouver,19
dans,dans,81
le,le,71
salon,salon,21
du,de,81
du,le,71
premier,premier,72
étage,étage,21
",",",",p
où,où,60
s',se,51
était,être,18
passée,passer,12
leur,leur,73
entrevue,entrevue,22
du,de,81
du,le,71
matin,matin,21
/.,/.,P
-,-,p
mille,mille,72
pardons,pardon,21
!,!,p
mon,mon,73
père,père,21
",",",",p
de,de,81
ne,ne,60
pas,pas,60
m',je,51
être,être,14
trouvé,trouver,12
ici,ici,60
lors,lors,60
de,de,81
votre,votre,73
arrivée,arrivée,22
…,…,p
mais,mais,82
je,je,51
/…,/…,P
-,-,p
l',le,71
homme,homme,21
qui,qui,52
a,avoir,17
en,en,81
main,main,22
cette,ce,74
traite,traite,22
fausse,faux,30
est,être,17
il,il,51
ici,ici,60
?,?,p
-,-,p
dit,dire,12
le,le,71
comte,comte,21
en,en,81
interrompant,interrompre,13
son,son,73
fils,fils,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
mon,mon,73
père,père,21
",",",",p
il,il,51
est,être,17
en,en,81
bas,bas,21
/…,/…,P
-,-,p
faites,faire,17
le,le,52
monter,monter,14
/…,/…,P
Florestan,Florestan,20
sonna,sonner,19
",",",",p
Boyer,Boyer,20
parut,paraître,19
/.,/.,P
-,-,p
dites,dire,17
à,à,81
monsieur,monsieur,21
Petit-Jean,Petit-Jean,20
de,de,81
monter,monter,14
/…,/…,P
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
