12206
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 200e extrait>,<>,<>
de,de,81
moi,moi,51
…,…,p
où,où,60
vous,vous,51
m',je,51
avez,avoir,17
envoyée,envoyer,12
à,à,81
la,le,71
ferme,ferme,22
/…,/…,P
-,-,p
mais,mais,82
votre,votre,73
père,père,21
…,…,p
vous,vous,51
chérit,chérir,17
…,…,p
-,-,p
dit,dire,19
le,le,71
prince,prince,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
le,le,52
connais,connaître,17
pas,pas,60
…,…,p
et,et,82
je,je,51
vous,vous,51
dois,devoir,17
tout,tout,52
…,…,p
monsieur,monsieur,21
Rodolphe,Rodolphe,20
/.,/.,P
-,-,p
ainsi,ainsi,60
…,…,p
vous,vous,51
…,…,p
m',je,51
aimez,aimer,17
…,…,p
autant,autant,60
…,…,p
plus,plus,60
peut-être,peut-être,60
que,que,83
vous,vous,51
n',ne,60
aimeriez,aimer,16
votre,votre,73
père,père,21
/?,/?,P
-,-,p
je,je,51
vous,vous,51
bénis,bénir,17
et,et,82
je,je,51
vous,vous,51
respecte,respecter,17
comme,comme,83
dieu,dieu,21
",",",",p
monsieur,monsieur,21
Rodolphe,Rodolphe,20
",",",",p
parce que,parce que,83
vous,vous,51
avez,avoir,17
fait,faire,12
pour,pour,81
moi,moi,51
ce,ce,52
que,que,52
dieu,dieu,21
seul,seul,30
aurait,avoir,16
pu,pouvoir,12
faire,faire,14
-,-,p
répondit,répondre,19
la,le,71
Goualeuse,Goualeuse,20
avec,avec,81
exaltation,exaltation,22
",",",",p
oubliant,oublier,13
sa,son,73
timidité,timidité,22
habituelle,habituel,30
/.,/.,P
-,-,p
quand,quand,83
madame,madame,22
a,avoir,17
eu,avoir,12
la,le,71
bonté,bonté,22
de,de,81
me,je,51
parler,parler,14
à,à,81
la,le,71
prison,prison,22
",",",",p
je,je,51
le,le,52
lui,lui,51
ai,avoir,17
dit,dire,12
",",",",p
ainsi,ainsi,60
que,que,83
je,je,51
le,le,52
disais,dire,18
à,à,81
tout,tout,75
le,le,71
monde,monde,21
…,…,p
oui,oui,60
",",",",p
monsieur,monsieur,21
Rodolphe,Rodolphe,20
",",",",p
aux,à,81
aux,le,71
personnes,personne,22
qui,qui,52
étaient,être,18
bien,bien,60
malheureuses,malheureux,30
…,…,p
je,je,51
disais,dire,18
:,:,p
espérez,espérer,17
",",",",p
monsieur,monsieur,21
Rodolphe,Rodolphe,20
soulage,soulager,17
les,le,71
malheureux,malheureux,21
/.,/.,P
à,à,81
celles,celui,52
qui,qui,52
hésitaient,hésiter,18
entre,entre,81
le,le,71
bien,bien,21
et,et,82
le,le,71
mal,mal,21
",",",",p
je,je,51
disais,dire,18
:,:,p
courage,courage,21
",",",",p
soyez,être,17
bonnes,bon,30
",",",",p
monsieur,monsieur,21
Rodolphe,Rodolphe,20
récompense,récompenser,17
ceux,celui,52
qui,qui,52
sont,être,17
bons,bon,30
/.,/.,P
à,à,81
celles,celui,52
qui,qui,52
étaient,être,18
méchantes,méchant,30
",",",",p
je,je,51
disais,dire,18
:,:,p
prenez,prendre,17
garde,garde,22
",",",",p
monsieur,monsieur,21
Rodolphe,Rodolphe,20
punit,punir,17
les,le,71
méchants,méchant,21
/…,/…,P
enfin,enfin,60
",",",",p
quand,quand,83
j',je,51
ai,avoir,17
cru,croire,12
mourir,mourir,14
",",",",p
je,je,51
me,je,51
suis,être,17
dit,dire,12
:,:,p
dieu,dieu,21
aura,avoir,15
pitié,pitié,22
de,de,81
moi,moi,51
",",",",p
car,car,82
monsieur,monsieur,21
Rodolphe,Rodolphe,20
m',je,51
a,avoir,17
jugée,juger,12
digne,digne,30
de,de,81
son,son,73
intérêt,intérêt,21
/.,/.,P
Fleur-de-Marie,Fleur-de-Marie,20
",",",",p
entraînée,entraîné,31
par,par,81
sa,son,73
reconnaissance,reconnaissance,22
envers,envers,81
son,son,73
bienfaiteur,bienfaiteur,21
",",",",p
avait,avoir,18
surmonté,surmonter,12
sa,son,73
crainte,crainte,22
",",",",p
un,un,71
léger,léger,30
incarnat,incarnat,21
colorait,colorer,18
ses,son,73
joues,joue,22
",",",",p
et,et,82
ses,son,73
beaux,beau,30
yeux,oeil,21
bleus,bleu,30
",",",",p
qu',que,52
elle,il,51
levait,lever,18
au,à,81
au,le,71
ciel,ciel,21
comme,comme,83
si,si,83
elle,il,51
eût,avoir,19
prié,prier,12
",",",",p
brillaient,briller,18
du,de,81
du,le,71
plus,plus,60
doux,doux,30
éclat,éclat,21
/.,/.,P
un,un,71
silence,silence,21
de,de,81
quelques,quelque,75
secondes,seconde,22
succéda,succéder,19
aux,à,81
aux,le,71
paroles,parole,22
enthousiastes,enthousiaste,30
de,de,81
Fleur-de-Marie,Fleur-de-Marie,20
;,;,p
l',le,71
émotion,émotion,22
des,de,81
des,le,71
acteurs,acteur,21
de,de,81
cette,ce,74
scène,scène,22
était,être,18
profonde,profond,30
/.,/.,P
-,-,p
je,je,51
vois,voir,17
",",",",p
mon,mon,73
enfant,enfant,21
-,-,p
reprit,reprendre,19
Rodolphe,Rodolphe,20
",",",",p
pouvant,pouvoir,13
à,à,81
peine,peine,22
contenir,contenir,14
sa,son,73
joie,joie,22
-,-,p
que,que,83
dans,dans,81
votre,votre,73
coeur,coeur,21
j',je,51
ai,avoir,17
à,à,81
peu,peu,60
près,près,81
pris,prendre,12
la,le,71
place,place,22
de,de,81
votre,votre,73
père,père,21
/.,/.,P
-,-,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
ma,mon,73
faute,faute,22
",",",",p
monsieur,monsieur,21
Rodolphe,Rodolphe,20
/.,/.,P
c',ce,52
est,être,17
peut-être,peut-être,60
mal,mal,60
à,à,81
moi,moi,51
…,…,p
mais,mais,82
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
dit,dire,12
",",",",p
je,je,51
vous,vous,51
connais,connaître,17
et,et,82
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
mon,mon,73
père,père,21
-,-,p
et,et,82
elle,il,51
ajouta,ajouter,19
en,en,81
baissant,baisser,13
la,le,71
tête,tête,22
avec,avec,81
confusion,confusion,22
:,:,p
et,et,82
puis,puis,60
",",",",p
enfin,enfin,60
",",",",p
vous,vous,51
savez,savoir,17
le,le,71
passé,passé,21
…,…,p
monsieur,monsieur,21
Rodolphe,Rodolphe,20
…,…,p
et,et,82
malgré,malgré,81
cela,cela,52
vous,vous,51
m',je,51
avez,avoir,17
comblée,combler,12
de,de,81
bontés,bonté,22
;,;,p
mais,mais,82
mon,mon,73
père,père,21
ne,ne,60
le,le,52
sait,savoir,17
pas,pas,60
",",",",p
lui,lui,51
…,…,p
ce,ce,74
passé,passé,21
/.,/.,P
peut-être,peut-être,60
regrettera,regretter,15
t,t,94
il,il,51
de,de,81
m',je,51
avoir,avoir,14
retrouvée,retrouver,12
-,-,p
ajouta,ajouter,19
la,le,71
malheureuse,malheureux,30
enfant,enfant,21
en,en,81
frissonnant,frissonner,13
-,-,p
et,et,82
puisqu',puisque,83
il,il,51
est,être,17
",",",",p
comme,comme,83
le,le,52
dit,dire,17
madame,madame,22
…,…,p
d',de,81
une,un,71
grande,grand,30
naissance,naissance,22
…,…,p
sans,sans,81
doute,doute,21
il,il,51
aura,avoir,15
honte,honte,22
…,…,p
il,il,51
rougira,rougir,15
de,de,81
moi,moi,51
/…,/…,P
-,-,p
rougir,rougir,14
de,de,81
vous,vous,51
?,?,p
…,…,p
s',se,51
écria,écrier,19
Rodolphe,Rodolphe,20
en,en,81
se,se,51
redressant,redresser,13
",",",",p
le,le,71
front,front,21
altier,altier,30
",",",",p
le,le,71
regard,regard,21
orgueilleux,orgueilleux,30
/.,/.,P
-,-,p
rassurez,rassurer,17
vous,vous,51
",",",",p
pauvre,pauvre,30
enfant,enfant,21
",",",",p
votre,votre,73
père,père,21
vous,vous,51
fera,faire,15
une,un,71
position,position,22
si,si,60
brillante,brillant,30
",",",",p
si,si,60
haute,haut,30
",",",",p
que,que,83
les,le,71
plus,plus,60
grands,grand,30
parmi,parmi,81
les,le,71
grands,grand,21
de,de,81
ce,ce,74
monde,monde,21
ne,ne,60
vous,vous,51
regarderont,regarder,15
désormais,désormais,60
qu',que,83
avec,avec,81
un,un,71
profond,profond,30
respect,respect,21
/…,/…,P
rougir,rougir,14
de,de,81
vous,vous,51
?,?,p
…,…,p
non,non,60
…,…,p
non,non,60
/.,/.,P
après,après,81
les,le,71
reines,reine,22
",",",",p
auxquelles,à,81
auxquelles,lequel,52
vous,vous,51
êtes,être,17
alliée,allier,12
par,par,81
le,le,71
sang,sang,21
…,…,p
vous,vous,51
marcherez,marcher,15
de,de,81
pair,pair,21
avec,avec,81
les,le,71
plus,plus,60
nobles,noble,30
princesses,princesse,22
de,de,81
l',le,71
Europe,Europe,20
/…,/…,P
-,-,p
monseigneur,monseigneur,21
!,!,p
…,…,p
s',se,51
écrièrent,écrier,19
à,à,81
la,le,71
fois,fois,22
Murph,Murph,20
et,et,82
Clémence,Clémence,20
",",",",p
effrayés,effrayé,31
de,de,81
l',le,71
exaltation,exaltation,22
de,de,81
Rodolphe,Rodolphe,20
et,et,82
de,de,81
la,le,71
pâleur,pâleur,22
croissante,croissant,30
de,de,81
Fleur-de-Marie,Fleur-de-Marie,20
",",",",p
qui,qui,52
regardait,regarder,18
son,son,73
père,père,21
avec,avec,81
stupeur,stupeur,22
/.,/.,P
-,-,p
rougir,rougir,14
de,de,81
toi,toi,51
?,?,p
…,…,p
-,-,p
continua,continuer,19
t,t,94
il,il,51
-,-,p
oh,oh,93
!,!,p
si,si,83
j',je,51
ai,avoir,17
jamais,jamais,60
été,être,12
heureux,heureux,30
et,et,82
fier,fier,30
de,de,81
mon,mon,73
rang,rang,21
souverain,souverain,30
…,…,p
c',ce,52
est,être,17
parce que,parce que,83
",",",",p
grâce,grâce,22
à,à,81
ce,ce,74
rang,rang,21
",",",",p
je,je,51
puis,pouvoir,17
t',tu,51
élever,élever,14
autant,autant,60
que,que,83
tu,tu,51
as,avoir,17
été,être,12
abaissée,abaisser,12
…,…,p
entends,entendre,17
tu,tu,51
",",",",p
mon,mon,73
enfant,enfant,21
chérie,chéri,31
…,…,p
ma,mon,73
fille,fille,22
adorée,adoré,31
?,?,p
…,…,p
car,car,82
c',ce,52
est,être,17
moi,moi,51
…,…,p
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
suis,être,17
ton,ton,73
père,père,21
!,!,p
/…,/…,P
et,et,82
le,le,71
prince,prince,21
",",",",p
ne,ne,60
pouvant,pouvoir,13
vaincre,vaincre,14
plus,plus,60
long-temps,longtemps,60
son,son,73
émotion,émotion,22
",",",",p
se,se,51
jeta,jeter,19
aux,à,81
aux,le,71
pieds,pied,21
de,de,81
Fleur-de-Marie,Fleur-de-Marie,20
",",",",p
qu',que,52
il,il,51
couvrit,couvrir,19
de,de,81
larmes,larme,22
et,et,82
de,de,81
caresses,caresse,22
/.,/.,P
-,-,p
soyez,être,17
béni,bénir,12
",",",",p
mon,mon,73
dieu,dieu,21
!,!,p
s',se,51
écria,écrier,19
Fleur-de-Marie,Fleur-de-Marie,20
en,en,81
joignant,joindre,13
les,le,71
mains,main,22
/.,/.,P
-,-,p
il,il,51
m',je,51
était,être,18
permis,permettre,12
d',de,81
aimer,aimer,14
mon,mon,73
bienfaiteur,bienfaiteur,21
autant,autant,60
que,que,83
je,je,51
l',le,52
aimais,aimer,18
/…,/…,P
c',ce,52
est,être,17
mon,mon,73
père,père,21
…,…,p
je,je,51
pourrai,pouvoir,15
le,le,52
chérir,chérir,14
sans,sans,81
remords,remords,21
/…,/…,P
soyez,être,17
…,…,p
béni,bénir,12
…,…,p
mon,mon,73
/…,/…,P
elle,il,51
ne,ne,60
put,pouvoir,19
achever,achever,14
…,…,p
la,le,71
secousse,secousse,22
était,être,18
trop,trop,60
violente,violent,30
;,;,p
Fleur-de-Marie,Fleur-de-Marie,20
s',se,51
évanouit,évanouir,17
entre,entre,81
les,le,71
bras,bras,21
du,de,81
du,le,71
prince,prince,21
/.,/.,P
Murph,Murph,20
courut,courir,19
à,à,81
la,le,71
porte,porte,22
du,de,81
du,le,71
salon,salon,21
de,de,81
service,service,21
",",",",p
l',le,52
ouvrit,ouvrir,19
et,et,82
dit,dire,19
:,:,p
-,-,p
le,le,71
docteur,docteur,21
David,David,20
…,…,p
à,à,81
l',le,71
instant,instant,21
…,…,p
pour,pour,81
son,son,73
altesse,altesse,22
royale,royal,30
…,…,p
quelqu'un,quelqu'un,52
se,se,51
trouve,trouver,17
mal,mal,60
/.,/.,P
-,-,p
malédiction,malédiction,22
sur,sur,81
moi,moi,51
!,!,p
…,…,p
je,je,51
l',le,52
ai,avoir,17
tuée,tuer,12
…,…,p
-,-,p
s',se,51
écria,écrier,19
Rodolphe,Rodolphe,20
",",",",p
en,en,81
sanglotant,sangloter,13
",",",",p
agenouillé,agenouillé,31
devant,devant,81
sa,son,73
fille,fille,22
/.,/.,P
-,-,p
Marie,Marie,20
…,…,p
mon,mon,73
enfant,enfant,21
…,…,p
écoute,écouter,17
moi,moi,51
…,…,p
c',ce,52
est,être,17
ton,ton,73
père,père,21
/…,/…,P
pardon,pardon,21
…,…,p
oh,oh,93
!,!,p
pardon,pardon,21
…,…,p
de,de,81
n',ne,60
avoir,avoir,14
pu,pouvoir,12
retenir,retenir,14
plus,plus,60
long-temps,longtemps,60
ce,ce,74
secret,secret,21
/…,/…,P
je,je,51
l',le,52
ai,avoir,17
tuée,tuer,12
…,…,p
mon,mon,73
dieu,dieu,21
!,!,p
je,je,51
l',le,52
ai,avoir,17
tuée,tuer,12
/!,/!,P
-,-,p
calmez,calmer,17
vous,vous,51
",",",",p
monseigneur,monseigneur,21
-,-,p
dit,dire,19
Clémence,Clémence,20
;,;,p
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
sans,sans,81
doute,doute,21
aucun,aucun,75
danger,danger,21
/…,/…,P
voyez,voir,17
…,…,p
ses,son,73
joues,joue,22
sont,être,17
colorées,colorer,12
…,…,p
c',ce,52
est,être,17
le,le,71
saisissement,saisissement,21
…,…,p
seulement,seulement,60
le,le,71
saisissement,saisissement,21
/.,/.,P
-,-,p
mais,mais,82
à,à,81
peine,peine,22
convalescente,convalescent,30
…,…,p
elle,il,51
en,en,52
mourra,mourir,15
/…,/…,P
malheur,malheur,21
!,!,p
oh,oh,93
!,!,p
malheur,malheur,21
sur,sur,81
moi,moi,51
/!,/!,P
à,à,81
ce,ce,74
moment,moment,21
",",",",p
David,David,20
",",",",p
le,le,71
médecin,médecin,21
nègre,nègre,30
",",",",p
entra,entrer,19
précipitamment,précipitamment,60
",",",",p
tenant,tenir,13
à,à,81
la,le,71
main,main,22
une,un,71
petite,petit,30
caisse,caisse,22
remplie,rempli,31
de,de,81
flacons,flacon,21
",",",",p
et,et,82
un,un,71
papier,papier,21
qu',que,52
il,il,51
remit,remettre,19
à,à,81
Murph,Murph,20
/.,/.,P
-,-,p
David,David,20
…,…,p
ma,mon,73
fille,fille,22
se,se,51
meurt,mourir,17
/…,/…,P
je,je,51
t',tu,51
ai,avoir,17
sauvé,sauver,12
la,le,71
vie,vie,22
…,…,p
tu,tu,51
dois,devoir,17
sauver,sauver,14
mon,mon,73
enfant,enfant,21
!,!,p
-,-,p
s',se,51
écria,écrier,19
Rodolphe,Rodolphe,20
/.,/.,P
quoique,quoique,83
stupéfait,stupéfait,30
de,de,81
ces,ce,74
paroles,parole,22
du,de,81
du,le,71
prince,prince,21
",",",",p
qui,qui,52
parlait,parler,18
de,de,81
sa,son,73
fille,fille,22
",",",",p
le,le,71
docteur,docteur,21
courut,courir,19
à,à,81
Fleur-de-Marie,Fleur-de-Marie,20
",",",",p
que,que,52
madame,madame,22
d',de,81
Harville,Harville,20
tenait,tenir,18
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
prit,prendre,19
le,le,71
pouls,pouls,21
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
lui,lui,51
posa,poser,19
la,le,71
main,main,22
sur,sur,81
le,le,71
front,front,21
",",",",p
et,et,82
se,se,51
retournant,retourner,13
vers,vers,81
Rodolphe,Rodolphe,20
qui,qui,52
",",",",p
pâle,pâle,30
",",",",p
épouvanté,épouvanté,31
",",",",p
attendait,attendre,18
son,son,73
arrêt,arrêt,21
:,:,p
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
aucun,aucun,75
danger,danger,21
…,…,p
que,que,52
votre,votre,73
altesse,altesse,22
se,se,51
rassure,rassurer,17
/.,/.,P
-,-,p
tu,tu,51
dis,dire,17
vrai,vrai,60
…,…,p
aucun,aucun,75
danger,danger,21
…,…,p
aucun,aucun,52
…,…,p
/?,/?,P
-,-,p
aucun,aucun,52
",",",",p
monseigneur,monseigneur,21
/…,/…,P
quelques,quelque,75
gouttes,goutte,22
d',de,81
éther,éther,21
…,…,p
et,et,82
cette,ce,74
crise,crise,22
aura,avoir,15
cessé,cesser,12
/…,/…,P
-,-,p
oh,oh,93
!,!,p
merci,merci,21
/…,/…,P
David,David,20
…,…,p
mon,mon,73
bon,bon,30
David,David,20
!,!,p
s',se,51
écria,écrier,19
le,le,71
prince,prince,21
avec,avec,81
effusion,effusion,22
/.,/.,P
-,-,p
puis,puis,60
",",",",p
s',se,51
adressant,adresser,13
à,à,81
Clémence,Clémence,20
",",",",p
Rodolphe,Rodolphe,20
ajouta,ajouter,19
:,:,p
-,-,p
elle,il,51
vit,vivre,17
…,…,p
notre,notre,73
fille,fille,22
…,…,p
vivra,vivre,15
/…,/…,P
Murph,Murph,20
venait,venir,18
de,de,81
jeter,jeter,14
les,le,71
yeux,oeil,21
sur,sur,81
le,le,71
billet,billet,21
que,que,52
lui,lui,51
avait,avoir,18
remis,remettre,12
David,David,20
en,en,81
entrant,entrer,13
;,;,p
il,il,51
tressaillit,tressaillir,19
et,et,82
regarda,regarder,19
le,le,71
prince,prince,21
avec,avec,81
effroi,effroi,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
mon,mon,73
vieil,vieux,30
ami,ami,21
…,…,p
-,-,p
reprit,reprendre,19
Rodolphe,Rodolphe,20
-,-,p
dans,dans,81
peu,peu,60
de,de,81
temps,temps,21
ma,mon,73
fille,fille,22
pourra,pouvoir,15
dire,dire,14
à,à,81
madame,madame,22
la,le,71
marquise,marquise,22
d',de,81
Harville,Harville,20
/…,/…,P
ma,mon,73
mère,mère,22
/…,/…,P
-,-,p
monseigneur,monseigneur,21
-,-,p
dit,dire,19
Murph,Murph,20
en,en,81
tremblant,trembler,13
-,-,p
la,le,71
nouvelle,nouvelle,22
d',de,81
hier,hier,60
était,être,18
fausse,faux,30
/…,/…,P
-,-,p
que,que,52
dis,dire,17
tu,tu,51
?,?,p
/…,/…,P
-,-,p
une,un,71
crise,crise,22
violente,violent,30
",",",",p
suivie,suivi,31
d',de,81
une,un,71
syncope,syncope,22
",",",",p
avait,avoir,18
fait,faire,12
croire,croire,14
…,…,p
à,à,81
la,le,71
mort,mort,22
de,de,81
la,le,71
comtesse,comtesse,22
Sarah,Sarah,20
/…,/…,P
-,-,p
la,le,71
comtesse,comtesse,22
/!,/!,P
-,-,p
ce,ce,74
matin,matin,21
…,…,p
on,on,51
espère,espérer,17
la,le,52
sauver,sauver,14
/…,/…,P
-,-,p
o,oh,93
mon,mon,73
dieu,dieu,21
!,!,p
…,…,p
mon,mon,73
dieu,dieu,21
!,!,p
-,-,p
s',se,51
écria,écrier,19
