11766
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 184e extrait>,<>,<>
le,le,71
bonheur,bonheur,21
dans,dans,81
le,le,71
crime,crime,21
/.,/.,P
dans,dans,81
ce,ce,74
temps,temps,21
délicieux,délicieux,30
",",",",p
quand,quand,83
on,on,51
raconte,raconter,17
une,un,71
histoire,histoire,22
vraie,vrai,30
",",",",p
c',ce,52
est,être,17
à,à,81
croire,croire,14
que,que,83
le,le,71
diable,diable,21
a,avoir,17
dicté,dicter,12
/…,/…,P
j',je,51
étais,être,18
un,un,52
des,de,81
des,le,71
matins,matin,21
de,de,81
l',le,71
automne,automne,21
dernier,dernier,30
à,à,81
me,je,51
promener,promener,14
au,à,81
au,le,71
jardin,jardin,21
des,de,81
des,le,71
plantes,plante,22
",",",",p
en,en,81
compagnie,compagnie,22
du,de,81
du,le,71
docteur,docteur,21
Torty,Torty,20
",",",",p
certainement,certainement,60
une,un,52
de,de,81
mes,mon,73
plus,plus,60
vieilles,vieux,30
connaissances,connaissance,22
/.,/.,P
lorsque,lorsque,83
je,je,51
n',ne,60
étais,être,18
qu',que,83
un,un,71
enfant,enfant,21
",",",",p
le,le,71
docteur,docteur,21
Torty,Torty,20
exerçait,exercer,18
la,le,71
médecine,médecine,22
dans,dans,81
la,le,71
ville,ville,22
de,de,81
V,V,20
…,…,p
;,;,p
mais,mais,82
après,après,81
environ,environ,60
trente,trente,72
ans,an,21
de,de,81
cet,ce,74
agréable,agréable,30
exercice,exercice,21
",",",",p
et,et,82
ses,son,73
malades,malade,21
étant,être,13
morts,mourir,12
",",",",p
-,-,p
ses,son,73
fermiers,fermier,21
comme,comme,83
il,il,51
les,le,52
appelait,appeler,18
",",",",p
lesquels,lequel,52
lui,lui,51
avaient,avoir,18
rapporté,rapporter,12
plus,plus,60
que,que,83
bien,bien,60
des,de,81
des,le,71
fermiers,fermier,21
ne,ne,60
rapportent,rapporter,17
à,à,81
leurs,leur,73
maîtres,maître,21
",",",",p
sur,sur,81
les,le,71
meilleures,meilleur,30
terres,terre,22
de,de,81
Normandie,Normandie,20
",",",",p
-,-,p
il,il,51
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
repris,reprendre,12
d',de,81
autres,autre,52
;,;,p
et,et,82
déjà,déjà,60
sur,sur,81
l',le,71
âge,âge,21
et,et,82
fou,fou,30
d',de,81
indépendance,indépendance,22
",",",",p
comme,comme,83
un,un,71
animal,animal,21
qui,qui,52
a,avoir,17
toujours,toujours,60
marché,marcher,12
sur,sur,81
son,son,73
bridon,bridon,21
et,et,82
qui,qui,52
finit,finir,17
par,par,81
le,le,52
casser,casser,14
",",",",p
il,il,51
était,être,18
venu,venir,12
s',se,51
engloutir,engloutir,14
dans,dans,81
Paris,Paris,20
",",",",p
-,-,p
là,là,60
même,même,60
",",",",p
dans,dans,81
le,le,71
voisinage,voisinage,21
du,de,81
du,le,71
Jardin des Plantes,Jardin des Plantes,20
",",",",p
rue,rue,22
Cuvier,Cuvier,20
",",",",p
je,je,51
crois,croire,17
",",",",p
-,-,p
ne,ne,60
faisant,faire,13
plus,plus,60
la,le,71
médecine,médecine,22
que,que,83
pour,pour,81
son,son,73
plaisir,plaisir,21
personnel,personnel,30
",",",",p
qui,qui,52
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
était,être,18
grand,grand,30
à,à,81
en,en,52
faire,faire,14
",",",",p
car,car,82
il,il,51
était,être,18
médecin,médecin,21
dans,dans,81
le,le,71
sang,sang,21
et,et,82
jusqu',jusque,81
aux,à,81
aux,le,71
ongles,ongle,21
",",",",p
et,et,82
fort,fort,30
médecin,médecin,21
",",",",p
et,et,82
grand,grand,30
observateur,observateur,21
",",",",p
en,en,81
plus,plus,60
",",",",p
de,de,81
bien,bien,60
d',de,81
autres,autre,75
cas,cas,21
que,que,83
de,de,81
cas,cas,21
simplement,simplement,60
physiologiques,physiologique,30
et,et,82
pathologiques,pathologique,30
/…,/…,P
l',le,52
avez,avoir,17
vous,vous,51
quelquefois,quelquefois,60
rencontré,rencontrer,12
",",",",p
le,le,71
docteur,docteur,21
Torty,Torty,20
/?,/?,P
c',ce,52
était,être,18
un,un,52
de,de,81
ces,ce,74
esprits,esprit,21
hardis,hardi,30
et,et,82
vigoureux,vigoureux,30
qui,qui,52
ne,ne,60
chaussent,chausser,17
point,point,60
de,de,81
mitaines,mitaine,22
",",",",p
par,par,81
la,le,71
très,très,60
bonne,bon,30
et,et,82
proverbiale,proverbial,30
raison,raison,22
que,que,83
:,:,p
“,“,p
chat,chat,21
ganté,ganté,31
ne,ne,60
prend,prendre,17
pas,pas,60
de,de,81
souris,souris,22
“,“,p
",",",",p
et,et,82
qu',que,83
il,il,51
en,en,52
avait,avoir,18
immensément,immensément,60
pris,prendre,12
",",",",p
et,et,82
qu',que,83
il,il,51
en,en,52
voulait,vouloir,18
toujours,toujours,60
prendre,prendre,14
",",",",p
ce,ce,74
matois,matois,30
de,de,81
fine,fin,30
et,et,82
forte,fort,30
race,race,22
;,;,p
espèce,espèce,22
d',de,81
homme,homme,21
qui,qui,52
me,je,51
plaisait,plaire,18
beaucoup,beaucoup,60
à,à,81
moi,moi,51
",",",",p
et,et,82
je,je,51
crois,croire,17
bien,bien,60
(,(,p
je,je,51
me,je,51
connais,connaître,17
!,!,p
),),p
par,par,81
les,le,71
côtés,côté,21
surtout,surtout,60
qui,qui,52
