11700
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 162e extrait>,<>,<>
de,de,81
fin,fin,22
d',de,81
août,août,21
",",",",p
il,il,51
y,y,52
a,avoir,17
comme,comme,83
un,un,71
alanguissement,alanguissement,21
de,de,81
pays,pays,21
chaud,chaud,30
qui,qui,52
remonte,remonter,17
du,de,81
du,le,71
midi,midi,21
vers,vers,81
le,le,71
nord,nord,21
;,;,p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
soirées,soirée,22
lumineuses,lumineux,30
",",",",p
des,de,81
des,le,71
reflets,reflet,21
du,de,81
du,le,71
grand,grand,30
soleil,soleil,21
d',de,81
ailleurs,ailleurs,60
qui,qui,52
viennent,venir,17
traîner,traîner,14
jusque,jusque,81
sur,sur,81
la,le,71
mer,mer,22
bretonne,breton,30
/.,/.,P
très,très,60
souvent,souvent,60
",",",",p
l',le,71
air,air,21
est,être,17
limpide,limpide,30
et,et,82
calme,calme,30
",",",",p
sans,sans,81
aucun,aucun,75
nuage,nuage,21
nulle,nul,75
part,part,22
/.,/.,P
aux,à,81
aux,le,71
heures,heure,22
où,où,60
Gaud,Gaud,20
s',se,51
en,en,52
revenait,revenir,18
",",",",p
les,le,71
choses,chose,22
se,se,51
fondaient,fonder,18
déjà,déjà,60
ensemble,ensemble,60
pour,pour,81
la,le,71
nuit,nuit,22
",",",",p
commençaient,commencer,18
à,à,81
se,se,51
réunir,réunir,14
et,et,82
à,à,81
former,former,14
des,de,81
des,le,71
silhouettes,silhouette,22
/.,/.,P
çà,çà,60
et,et,82
là,là,60
",",",",p
un,un,71
bouquet,bouquet,21
d',de,81
ajoncs,ajonc,21
se,se,51
dressait,dresser,18
sur,sur,81
une,un,71
hauteur,hauteur,22
entre,entre,81
deux,deux,72
pierres,pierre,22
",",",",p
comme,comme,83
un,un,71
panache,panache,21
ébouriffé,ébouriffé,31
;,;,p
un,un,71
groupe,groupe,21
d',de,81
arbres,arbre,21
tordus,tordu,31
formait,former,18
un,un,71
amas,amas,21
sombre,sombre,30
dans,dans,81
un,un,71
creux,creux,21
",",",",p
ou,ou,82
bien,bien,60
",",",",p
ailleurs,ailleurs,60
",",",",p
quelque,quelque,75
hameau,hameau,21
à,à,81
toit,toit,21
de,de,81
paille,paille,22
dessinait,dessiner,18
au-dessus,au-dessus,60
de,de,81
la,le,71
lande,lande,22
une,un,71
petite,petit,30
découpure,découpure,22
bossue,bossu,30
/.,/.,P
aux,à,81
aux,le,71
carrefours,carrefour,21
les,le,71
vieux,vieux,30
christs,christ,21
qui,qui,52
gardaient,garder,18
la,le,71
campagne,campagne,22
étendaient,étendre,18
leurs,leur,73
bras,bras,21
noirs,noir,30
sur,sur,81
les,le,71
calvaires,calvaire,21
",",",",p
comme,comme,83
de,de,81
vrais,vrai,30
hommes,homme,21
suppliciés,supplicié,31
",",",",p
et,et,82
",",",",p
dans,dans,81
le,le,71
lointain,lointain,21
",",",",p
la,le,71
Manche,Manche,20
se,se,51
détachait,détacher,18
en,en,81
clair,clair,30
",",",",p
en,en,81
grand,grand,30
miroir,miroir,21
jaune,jaune,30
sur,sur,81
un,un,71
ciel,ciel,21
qui,qui,52
était,être,18
déjà,déjà,60
obscurci,obscurcir,12
par,par,81
le,le,71
bas,bas,21
",",",",p
déjà,déjà,60
ténébreux,ténébreux,30
vers,vers,81
l',le,71
horizon,horizon,21
/.,/.,P
et,et,82
dans,dans,81
ce,ce,74
pays,pays,21
",",",",p
même,même,60
ce,ce,74
calme,calme,21
",",",",p
même,même,60
ces,ce,74
beaux,beau,30
temps,temps,21
",",",",p
étaient,être,18
mélancoliques,mélancolique,30
;,;,p
il,il,51
restait,rester,18
",",",",p
malgré,malgré,81
tout,tout,52
",",",",p
une,un,71
inquiétude,inquiétude,22
planant,planer,13
sur,sur,81
les,le,71
choses,chose,22
;,;,p
une,un,71
anxiété,anxiété,22
venue,venu,31
de,de,81
la,le,71
mer,mer,22
à,à,81
qui,qui,52
tant,tant,60
d',de,81
existences,existence,22
étaient,être,18
confiées,confier,12
et,et,82
dont,dont,52
l',le,71
éternelle,éternel,30
menace,menace,22
n',ne,60
était,être,18
qu',que,83
endormie,endormir,12
/.,/.,P
Gaud,Gaud,20
",",",",p
qui,qui,52
songeait,songer,18
en,en,81
chemin,chemin,21
",",",",p
ne,ne,60
trouvait,trouver,18
jamais,jamais,60
assez,assez,60
longue,long,30
sa,son,73
course,course,22
de,de,81
retour,retour,21
au,à,81
au,le,71
grand,grand,30
air,air,21
/.,/.,P
on,on,51
sentait,sentir,18
l',le,71
odeur,odeur,22
salée,salé,31
des,de,81
des,le,71
grèves,grève,22
",",",",p
et,et,82
l',le,71
odeur,odeur,22
douce,doux,30
de,de,81
certaines,certain,75
fleurs,fleur,22
qui,qui,52
croissent,croître,17
sur,sur,81
les,le,71
falaises,falaise,22
entre,entre,81
les,le,71
épines,épine,22
maigres,maigre,30
/.,/.,P
sans,sans,81
la,le,71
grand'mère,grand-mère,22
Yvonne,Yvonne,20
qui,qui,52
l',le,52
attendait,attendre,18
au,à,81
au,le,71
logis,logis,21
",",",",p
volontiers,volontiers,60
elle,il,51
se,se,51
serait,être,16
attardée,attarder,12
dans,dans,81
ces,ce,74
sentiers,sentier,21
d',de,81
ajoncs,ajonc,21
",",",",p
à,à,81
la,le,71
manière,manière,22
de,de,81
ces,ce,74
belles,beau,30
demoiselles,demoiselle,22
qui,qui,52
aiment,aimer,17
à,à,81
rêver,rêver,14
",",",",p
les,le,71
soirs,soir,21
d',de,81
été,été,21
",",",",p
dans,dans,81
les,le,71
parcs,parc,21
/.,/.,P
en,en,81
traversant,traverser,13
ce,ce,74
pays,pays,21
",",",",p
