11612
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 159e extrait>,<>,<>
cruelle,cruel,30
existence,existence,22
/!,/!,P
vous,vous,51
avez,avoir,17
besoin,besoin,21
de,de,81
repos,repos,21
",",",",p
de,de,81
ménagements,ménagement,21
",",",",p
d',de,81
égards,égard,21
",",",",p
de,de,81
soins,soin,21
de,de,81
toute,tout,75
sorte,sorte,22
;,;,p
vous,vous,51
pouvez,pouvoir,17
tomber,tomber,14
malade,malade,30
/.,/.,P
et,et,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
femme,femme,22
qui,qui,52
ne,ne,60
se,se,51
ferait,faire,16
honneur,honneur,21
de,de,81
porter,porter,14
votre,votre,73
nom,nom,21
et,et,82
de,de,81
partager,partager,14
votre,votre,73
existence,existence,22
/.,/.,P
non,non,60
!,!,p
il,il,51
n',ne,60
y,y,52
en,en,52
a,avoir,17
pas,pas,60
:,:,p
c',ce,52
est,être,17
mon,mon,73
coeur,coeur,21
qui,qui,52
me,je,51
le,le,52
dit,dire,17
/.,/.,P
et,et,82
elle,il,51
pressait,presser,18
des,de,81
des,le,71
deux,deux,72
mains,main,22
ce,ce,74
coeur,coeur,21
prêt,prêt,30
sans,sans,81
cesse,cesse,22
à,à,81
s',se,51
échapper,échapper,14
/.,/.,P
j',je,51
étais,être,18
littéralement,littéralement,60
désespéré,désespérer,12
/.,/.,P
j',je,51
essayai,essayer,19
de,de,81
remontrer,remontrer,14
à,à,81
mademoiselle,mademoiselle,22
préfère,préférer,17
que,que,83
j',je,51
entendais,entendre,18
ne,ne,60
rien,rien,52
changer,changer,14
au,à,81
au,le,71
train,train,21
de,de,81
ma,mon,73
vie,vie,22
fort,fort,60
avancée,avancé,31
et,et,82
que,que,83
j',je,51
avais,avoir,18
autant,autant,60
de,de,81
bonheur,bonheur,21
qu',que,83
en,en,52
comportaient,comporter,18
ma,mon,73
nature,nature,22
et,et,82
ma,mon,73
destinée,destinée,22
/.,/.,P
-,-,p
non,non,60
!,!,p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
heureux,heureux,30
",",",",p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
;,;,p
il,il,51
vous,vous,51
faudrait,falloir,16
auprès,auprès,60
de,de,81
vous,vous,51
une,un,71
âme,âme,22
capable,capable,30
de,de,81
vous,vous,51
comprendre,comprendre,14
/.,/.,P
sortez,sortir,17
de,de,81
votre,votre,73
engourdissement,engourdissement,21
",",",",p
jetez,jeter,17
les,le,71
yeux,oeil,21
autour,autour,60
de,de,81
vous,vous,51
/.,/.,P
vous,vous,51
avez,avoir,17
des,de,81
des,le,71
relations,relation,22
étendues,étendu,31
",",",",p
de,de,81
belles,beau,30
connaissances,connaissance,22
/.,/.,P
on,on,51
n',ne,60
est,être,17
pas,pas,60
membre,membre,21
de,de,81
l',le,71
institut,institut,21
sans,sans,81
fréquenter,fréquenter,14
la,le,71
société,société,22
/.,/.,P
voyez,voir,17
",",",",p
jugez,juger,17
",",",",p
comparez,comparer,17
/.,/.,P
une,un,71
femme,femme,22
sensée,sensé,30
ne,ne,60
vous,vous,51
refusera,refuser,15
pas,pas,60
sa,son,73
main,main,22
/.,/.,P
je,je,51
suis,être,17
femme,femme,22
",",",",p
monsieur,monsieur,21
:,:,p
mon,mon,73
instinct,instinct,21
ne,ne,60
me,je,51
trompe,tromper,17
pas,pas,60
;,;,p
il,il,51
y,y,52
a,avoir,17
quelque,quelque,75
chose,chose,22
là,là,60
qui,qui,52
me,je,51
dit,dire,17
que,que,83
vous,vous,51
trouverez,trouver,15
le,le,71
bonheur,bonheur,21
dans,dans,81
le,le,71
mariage,mariage,21
/.,/.,P
les,le,71
femmes,femme,22
sont,être,17
si,si,60
dévouées,dévouer,12
",",",",p
si,si,60
aimantes,aimant,30
(,(,p
pas,pas,60
toutes,tout,52
",",",",p
sans,sans,81
doute,doute,21
",",",",p
mais,mais,82
quelques-unes,quelqu'un,52
),),p
/!,/!,P
et,et,82
puis,puis,60
elles,ils,51
sont,être,17
sensibles,sensible,30
à,à,81
la,le,71
gloire,gloire,22
/.,/.,P
songez,songer,17
qu',que,83
à,à,81
votre,votre,73
âge,âge,21
on,on,51
a,avoir,17
besoin,besoin,21
comme,comme,83
Oedipe,Oedipe,20
d',de,81
une,un,71
égérie,égérie,22
/.,/.,P
votre,votre,73
cuisinière,cuisinière,22
