11904
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 199e extrait>,<>,<>
jour,jour,21
cependant,cependant,82
elle,il,51
crut,croire,19
avoir,avoir,14
assez,assez,60
brisé,briser,12
la,le,71
volonté,volonté,22
de,de,81
sa,son,73
nièce,nièce,22
",",",",p
et,et,82
",",",",p
assez,assez,60
prouvé,prouver,12
qu',que,83
elle,il,51
ne,ne,60
rougissait,rougir,18
pas,pas,60
de,de,81
son,son,73
origine,origine,22
;,;,p
elle,il,51
supprima,supprimer,19
la,le,71
coiffe,coiffe,22
;,;,p
mais,mais,82
elle,il,51
dicta,dicter,19
un,un,71
bonnet,bonnet,21
",",",",p
coupa,couper,19
elle-même,lui-même,51
une,un,71
robe,robe,22
/.,/.,P
“,“,p
je,je,51
ne,ne,60
sortirai,sortir,15
jamais,jamais,60
habillée,habillé,31
comme,comme,83
ça,ça,52
",",",",p
dit,dire,19
Marianne,Marianne,20
le,le,71
jour,jour,21
où,où,60
on,on,51
les,le,52
essaya,essayer,19
/.,/.,P
-,-,p
tu,tu,51
entends,entendre,17
par là,par-là,60
que,que,83
ta,ton,73
tante,tante,22
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
goût,goût,21
",",",",p
que,que,83
ta,ton,73
tante,tante,22
est,être,17
une,un,71
bête,bête,22
",",",",p
qui,qui,52
ne,ne,60
sait,savoir,17
pas,pas,60
comment,comment,60
on,on,51
s',se,51
habille,habiller,17
",",",",p
qui,qui,52
souillonne,souillonner,17
ce,ce,52
qu',que,52
elle,il,51
touche,toucher,17
/.,/.,P
ah,ah,93
!,!,p
je,je,51
souillonne,souillonner,17
?,?,p
/…,/…,P
-,-,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
dit,dire,12
ça,ça,52
",",",",p
ma,mon,73
tante,tante,22
/.,/.,P
-,-,p
et,et,82
hypocrite,hypocrite,30
avec,avec,81
ça,ça,52
/!,/!,P
-,-,p
oui,oui,60
va,aller,17
t',tu,51
en,en,52
dire,dire,14
partout,partout,60
que,que,83
je,je,51
souillonne,souillonner,17
les,le,71
robes,robe,22
de,de,81
mes,mon,73
nièces,nièce,22
-,-,p
tu,tu,51
ajouteras,ajouter,15
peut-être,peut-être,60
aussi,aussi,60
que,que,83
je,je,51
les,le,52
laisse,laisser,17
mourir,mourir,14
de,de,81
faim,faim,22
/!,/!,P
“,“,p
une,un,71
pause,pause,22
/.,/.,P
tout,tout,60
d',de,81
un,un,71
coup,coup,21
se,se,51
