11280
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 191e extrait>,<>,<>
les,le,71
affections,affection,22
qui,qui,52
restent,rester,17
alors,alors,60
répandent,répandre,17
encore,encore,60
",",",",p
de,de,81
la,le,71
douceur,douceur,22
sur,sur,81
les,le,71
dernières,dernier,30
volontés,volonté,22
;,;,p
mais,mais,82
",",",",p
dans,dans,81
une,un,71
rupture,rupture,22
",",",",p
tous,tout,75
les,le,71
détails,détail,21
de,de,81
la,le,71
séparation,séparation,22
déchirent,déchirer,17
",",",",p
et,et,82
rien,rien,52
de,de,81
sensible,sensible,30
ne,ne,60
s',se,51
y,y,52
mêle,mêler,17
et,et,82
ne,ne,60
fait,faire,17
trouver,trouver,14
du,de,81
du,le,71
plaisir,plaisir,21
à,à,81
pleurer,pleurer,14
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
personne,personne,52
à,à,81
consulter,consulter,14
sur,sur,81
les,le,71
circonstances,circonstance,22
journalières,journalier,30
de,de,81
la,le,71
vie,vie,22
;,;,p
je,je,51
me,je,51
sens,sentir,17
indécise,indécis,30
sur,sur,81
tout,tout,52
/.,/.,P
je,je,51
pense,penser,17
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
plaisir,plaisir,21
que,que,83
",",",",p
par,par,81
délicatesse,délicatesse,22
pour,pour,81
madame,madame,22
de,de,81
Vernon,Vernon,20
",",",",p
je,je,51
m',je,51
étais,être,18
isolée,isoler,12
de,de,81
la,le,71
plupart,plupart,22
des,de,81
des,le,71
femmes,femme,22
qui,qui,52
me,je,51
témoignaient,témoigner,18
de,de,81
l',le,71
amitié,amitié,22
;,;,p
je,je,51
ne,ne,60
voulais,vouloir,18
confier,confier,14
à,à,81
aucune,aucun,75
autre,autre,52
ce,ce,52
que,que,52
je,je,51
lui,lui,51
disais,dire,18
;,;,p
j',je,51
étais,être,18
jalouse,jaloux,30
de,de,81
moi,moi,51
pour,pour,81
elle,il,51
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
pensées,pensée,22
",",",",p
plus,plus,60
douces,doux,30
mille,mille,72
fois,fois,22
qu',que,83
une,un,71
amie,amie,22
si,si,60
coupable,coupable,30
ne,ne,60
devait,devoir,18
les,le,52
attendre,attendre,14
de,de,81
moi,moi,51
",",",",p
madame,madame,22
de,de,81
Lebensei,Lebensei,20
a,avoir,17
trouvé,trouver,12
le,le,71
secret,secret,21
",",",",p
hier,hier,60
",",",",p
de,de,81
me,je,51
faire,faire,14
parler,parler,14
très,très,60
amèrement,amèrement,60
de,de,81
madame,madame,22
de,de,81
Vernon,Vernon,20
;,;,p
elle,il,51
était,être,18
arrivée,arriver,12
de,de,81
la,le,71
campagne,campagne,22
exprès,exprès,60
pour,pour,81
me,je,51
questionner,questionner,14
:,:,p
madame,madame,22
de,de,81
Vernon,Vernon,20
l',le,52
avait,avoir,18
vue,voir,12
