11333
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 134e extrait>,<>,<>
contre,contre,81
cette,ce,74
puissance,puissance,22
magique,magique,30
qu',que,52
il,il,51
exerçait,exercer,18
autour,autour,60
de,de,81
lui,lui,51
",",",",p
sorte,sorte,22
d',de,81
influence,influence,22
magnétique,magnétique,30
que,que,52
le,le,71
ciel,ciel,21
ou,ou,82
l',le,71
enfer,enfer,21
accorde,accorder,17
à,à,81
certains,certain,75
hommes,homme,21
",",",",p
royauté,royauté,22
partielle,partiel,30
",",",",p
et,et,82
éphémère,éphémère,30
",",",",p
si,si,60
réelle,réel,30
",",",",p
que,que,83
nulle,nul,75
médiocrité,médiocrité,22
ne,ne,60
se,se,51
dérobe,dérober,17
à,à,81
son,son,73
ascendant,ascendant,21
",",",",p
si,si,60
fugitive,fugitif,30
",",",",p
qu',que,83
il,il,51
n',ne,60
en,en,52
reste,rester,17
aucune,aucun,75
trace,trace,22
après,après,81
eux,ils,51
",",",",p
et,et,82
qu',que,83
on,on,51
s',se,51
étonne,étonner,17
après,après,81
leur,leur,73
mort,mort,22
du,de,81
du,le,71
bruit,bruit,21
qu',que,52
ils,ils,51
ont,avoir,17
fait,faire,12
pendant,pendant,81
leur,leur,73
vie,vie,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
bien,bien,60
des,de,81
des,le,71
instants,instant,21
où,où,60
Indiana,Indiana,20
se,se,51
sentait,sentir,18
fascinée,fasciné,31
par,par,81
tant,tant,60
d',de,81
éclat,éclat,21
;,;,p
mais,mais,82
aussitôt,aussitôt,60
elle,il,51
se,se,51
disait,dire,18
tristement,tristement,60
que,que,83
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
de,de,81
gloire,gloire,22
",",",",p
mais,mais,82
de,de,81
bonheur,bonheur,21
qu',que,52
elle,il,51
était,être,18
avide,avide,30
/.,/.,P
elle,il,51
se,se,51
demandait,demander,18
avec,avec,81
effroi,effroi,21
si,si,83
cet,ce,74
homme,homme,21
",",",",p
pour,pour,81
qui,qui,52
la,le,71
vie,vie,22
avait,avoir,18
tant,tant,60
de,de,81
faces,face,22
diverses,divers,30
",",",",p
tant,tant,60
d',de,81
intérêts,intérêt,21
entraînants,entraînant,30
",",",",p
pourrait,pouvoir,16
lui,lui,51
consacrer,consacrer,14
toute,tout,75
son,son,73
âme,âme,22
",",",",p
lui,lui,51
sacrifier,sacrifier,14
toutes,tout,75
ses,son,73
ambitions,ambition,22
/.,/.,P
et,et,82
",",",",p
maintenant,maintenant,60
qu',que,83
il,il,51
défendait,défendre,18
pied,pied,21
à,à,81
pied,pied,21
avec,avec,81
tant,tant,60
de,de,81
valeur,valeur,22
et,et,82
d',de,81
adresse,adresse,22
",",",",p
tant,tant,60
de,de,81
passion,passion,22
et,et,82
de,de,81
sang-froid,sang-froid,21
",",",",p
des,de,81
des,le,71
doctrines,doctrine,22
purement,purement,60
spéculatives,spéculatif,30
et,et,82
des,de,81
des,le,71
intérêts,intérêt,21
entièrement,entièrement,60
étrangers,étranger,30
à,à,81
leur,leur,73
amour,amour,21
",",",",p
elle,il,51
s',se,51
épouvantait,épouvanter,18
d',de,81
être,être,14
si,si,83
peu,peu,60
de,de,81
chose,chose,22
dans,dans,81
sa,son,73
vie,vie,22
",",",",p
tandis qu',tandis que,83
il,il,51
était,être,18
tout,tout,52
dans,dans,81
la,le,71
sienne,sien,52
/.,/.,P
elle,il,51
se,se,51
disait,dire,18
avec,avec,81
terreur,terreur,22
qu',que,83
elle,il,51
était,être,18
pour,pour,81
lui,lui,51
le,le,71
caprice,caprice,21
de,de,81
trois,trois,72
jours,jour,21
",",",",p
et,et,82
qu',que,83
il,il,51
avait,avoir,18
été,être,12
pour,pour,81
elle,il,51
le,le,71
rêve,rêve,21
de,de,81
toute,tout,75
une,un,71
vie,vie,22
/.,/.,P
quand,quand,83
il,il,51
lui,lui,51
offrit,offrir,19
le,le,71
bras,bras,21
pour,pour,81
sortir,sortir,14
du,de,81
du,le,71
salon,salon,21
",",",",p
il,il,51
lui,lui,51
glissa,glisser,19
quelques,quelque,75
mots,mot,21
d',de,81
amour,amour,21
;,;,p
mais,mais,82
elle,il,51
lui,lui,51
répondit,répondre,19
tristement,tristement,60
:,:,p
-,-,p
vous,vous,51
avez,avoir,17
bien,bien,60
de,de,81
l',le,71
esprit,esprit,21
/!,/!,P
Raymon,Raymon,20
comprit,comprendre,19
ce,ce,74
reproche,reproche,21
",",",",p
et,et,82
passa,passer,19
tout,tout,75
le,le,71
lendemain,lendemain,21
aux,à,81
aux,le,71
pieds,pied,21
de,de,81
madame,madame,22
Delmare,Delmare,20
/.,/.,P
les,le,71
autres,autre,75
convives,convive,21
",",",",p
occupés,occupé,31
de,de,81
la,le,71
chasse,chasse,22
",",",",p
leur,leur,52
laissèrent,laisser,19
une,un,71
liberté,liberté,22
complète,complet,30
/.,/.,P
Raymon,Raymon,20
fut,être,19
éloquent,éloquent,30
;,;,p
Indiana,Indiana,20
avait,avoir,18
tant,tant,60
besoin,besoin,21
de,de,81
croire,croire,14
",",",",p
que,que,83
la,le,71
moitié,moitié,22
de,de,81
son,son,73
éloquence,éloquence,22
fut,être,19
