11519
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 109e extrait>,<>,<>
sans,sans,81
être,être,14
triste,triste,30
",",",",p
ce,ce,52
qui,qui,52
est,être,17
le,le,71
propre,propre,30
des,de,81
des,le,71
natures,nature,22
affectueuses,affectueux,30
/.,/.,P
somme,somme,22
toute,tout,75
",",",",p
pourtant,pourtant,60
",",",",p
c',ce,52
était,être,18
quelque,quelque,75
chose,chose,22
d',de,81
assez,assez,60
endormi,endormir,12
et,et,82
d',de,81
assez,assez,60
insignifiant,insignifiant,30
",",",",p
en,en,81
apparence,apparence,22
du,de,81
du,le,71
moins,moins,60
",",",",p
que,que,83
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
il,il,51
avait,avoir,18
perdu,perdre,12
en,en,81
très,très,60
bas,bas,30
âge,âge,21
son,son,73
père,père,21
et,et,82
sa,son,73
mère,mère,22
/.,/.,P
sa,son,73
mère,mère,22
était,être,18
morte,mourir,12
d',de,81
une,un,71
fièvre,fièvre,22
de,de,81
lait,lait,21
mal,mal,60
soignée,soigné,31
/.,/.,P
son,son,73
père,père,21
",",",",p
émondeur,émondeur,21
comme,comme,83
lui,lui,51
",",",",p
s',se,51
était,être,18
tué,tuer,12
en,en,81
tombant,tomber,13
d',de,81
un,un,71
arbre,arbre,21
/.,/.,P
il,il,51
n',ne,60
était,être,18
resté,rester,12
à,à,81
Jean,Jean,20
Valjean,Valjean,20
qu',que,83
une,un,71
soeur,soeur,22
plus,plus,60
âgée,âgé,30
que,que,83
lui,lui,51
",",",",p
veuve,veuve,22
",",",",p
avec,avec,81
sept,sept,72
enfants,enfant,21
",",",",p
filles,fille,22
et,et,82
garçons,garçon,21
/.,/.,P
cette,ce,74
soeur,soeur,22
avait,avoir,18
élevé,élever,12
Jean,Jean,20
Valjean,Valjean,20
",",",",p
et,et,82
tant,tant,60
qu',que,83
elle,il,51
eut,avoir,19
son,son,73
mari,mari,21
elle,il,51
logea,loger,19
et,et,82
nourrit,nourrir,19
son,son,73
jeune,jeune,30
frère,frère,21
/.,/.,P
le,le,71
mari,mari,21
mourut,mourir,19
/.,/.,P
l',le,71
aîné,aîné,21
des,de,81
des,le,71
sept,sept,72
enfants,enfant,21
avait,avoir,18
huit,huit,72
ans,an,21
",",",",p
le,le,71
dernier,dernier,30
un,un,71
an,an,21
/.,/.,P
Jean,Jean,20
Valjean,Valjean,20
venait,venir,18
d',de,81
atteindre,atteindre,14
",",",",p
lui,lui,51
",",",",p
sa,son,73
vingt-cinquième,vingt-cinquième,72
année,année,22
/.,/.,P
il,il,51
remplaça,remplacer,19
le,le,71
père,père,21
",",",",p
et,et,82
soutint,soutenir,19
à,à,81
son,son,73
tour,tour,21
sa,son,73
soeur,soeur,22
qui,qui,52
l',le,52
avait,avoir,18
élevé,élever,12
/.,/.,P
cela,cela,52
se,se,51
fit,faire,19
simplement,simplement,60
",",",",p
comme,comme,83
un,un,71
devoir,devoir,21
",",",",p
même,même,60
avec,avec,81
quelque,quelque,75
chose,chose,22
de,de,81
bourru,bourru,30
de,de,81
la,le,71
part,part,22
de,de,81
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
sa,son,73
jeunesse,jeunesse,22
se,se,51
dépensait,dépenser,18
ainsi,ainsi,60
dans,dans,81
un,un,71
travail,travail,21
rude,rude,30
et,et,82
mal,mal,60
payé,payé,31
/.,/.,P
on,on,51
ne,ne,60
lui,lui,51
avait,avoir,18
jamais,jamais,60
connu,connaître,12
de,de,81
“,“,p
bonne,bon,30
amie,amie,22
“,“,p
dans,dans,81
le,le,71
pays,pays,21
/.,/.,P
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
eu,avoir,12
le,le,71
temps,temps,21
d',de,81
être,être,14
amoureux,amoureux,30
/.,/.,P
le,le,71
soir,soir,21
il,il,51
rentrait,rentrer,18
fatigué,fatigué,31
et,et,82
mangeait,manger,18
sa,son,73
soupe,soupe,22
sans,sans,81
dire,dire,14
un,un,71
mot,mot,21
/.,/.,P
sa,son,73
soeur,soeur,22
",",",",p
mère,mère,22
Jeanne,Jeanne,20
",",",",p
pendant,pendant,81
qu',que,83
il,il,51
mangeait,manger,18
",",",",p
lui,lui,51
prenait,prendre,18
souvent,souvent,60
dans,dans,81
son,son,73
écuelle,écuelle,22
le,le,71
meilleur,meilleur,30
de,de,81
son,son,73
repas,repas,21
",",",",p
le,le,71
morceau,morceau,21
de,de,81
viande,viande,22
",",",",p
la,le,71
tranche,tranche,22
de,de,81
lard,lard,21
le,le,71
coeur,coeur,21
de,de,81
chou,chou,21
",",",",p
pour,pour,81
le,le,52
donner,donner,14
à,à,81
quelqu'un,quelqu'un,52
de,de,81
ses,son,73
enfants,enfant,21
;,;,p
lui,lui,51
",",",",p
mangeant,manger,13
toujours,toujours,60
",",",",p
penché,penché,31
sur,sur,81
la,le,71
table,table,22
",",",",p
presque,presque,60
la,le,71
tête,tête,22
dans,dans,81
sa,son,73
soupe,soupe,22
",",",",p
ses,son,73
longs,long,30
cheveux,cheveu,21
tombant,tomber,13
autour,autour,60
de,de,81
son,son,73
écuelle,écuelle,22
et,et,82
cachant,cacher,13
ses,son,73
yeux,oeil,21
",",",",p
avait,avoir,18
l',le,71
air,air,21
de,de,81
ne,ne,60
rien,rien,52
voir,voir,14
et,et,82
laissait,laisser,18
faire,faire,14
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
à,à,81
Faverolles,Faverolles,20
",",",",p
pas,pas,60
loin,loin,60
de,de,81
la,le,71
chaumière,chaumière,22
Valjean,Valjean,20
",",",",p
de,de,81
l',le,71
autre,autre,75
côté,côté,21
de,de,81
la,le,71
ruelle,ruelle,22
",",",",p
une,un,71
fermière,fermière,22
appelée,appelé,31
Marie-Claude,Marie-Claude,20
;,;,p
les,le,71
enfants,enfant,21
Valjean,Valjean,20
",",",",p
habituellement,habituellement,60
affamés,affamé,31
",",",",p
allaient,aller,18
quelquefois,quelquefois,60
emprunter,emprunter,14
au,à,81
au,le,71
nom,nom,21
de,de,81
leur,leur,73
mère,mère,22
une,un,71
pinte,pinte,22
de,de,81
lait,lait,21
à,à,81
Marie-Claude,Marie-Claude,20
",",",",p
qu',que,83
ils,ils,51
buvaient,boire,18
derrière,derrière,81
une,un,71
haie,haie,22
ou,ou,82
dans,dans,81
quelque,quelque,75
coin,coin,21
d',de,81
allée,allée,22
