11630
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 185e extrait>,<>,<>
ma,mon,73
mère,mère,22
/.,/.,P
ai,avoir,17
je,je,51
été,être,12
nourri,nourrir,12
par,par,81
ma,mon,73
mère,mère,22
/?,/?,P
est,être,17
ce,ce,52
une,un,71
paysanne,paysanne,22
qui,qui,52
m',je,51
a,avoir,17
donné,donner,12
son,son,73
lait,lait,21
/?,/?,P
je,je,51
n',ne,60
en,en,52
sais,savoir,17
rien,rien,52
/.,/.,P
quel,quel,52
que,que,52
soit,être,17
le,le,71
sein,sein,21
que,que,52
j',je,51
ai,avoir,17
mordu,mordre,12
",",",",p
je,je,51
ne,ne,60
me,je,51
rappelle,rappeler,17
pas,pas,60
une,un,71
caresse,caresse,22
du,de,81
du,le,71
temps,temps,21
où,où,60
j',je,51
étais,être,18
tout,tout,60
petit,petit,30
:,:,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
été,être,12
dorloté,dorloter,12
",",",",p
tapoté,tapoter,12
",",",",p
baisotté,baisotter,12
;,;,p
j',je,51
ai,avoir,17
été,être,12
beaucoup,beaucoup,60
fouetté,fouetter,12
/.,/.,P
ma,mon,73
mère,mère,22
dit,dire,17
qu',que,83
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
gâter,gâter,14
les,le,71
enfants,enfant,21
",",",",p
et,et,82
elle,il,51
me,je,51
fouette,fouetter,17
tous,tout,75
les,le,71
matins,matin,21
;,;,p
quand,quand,83
elle,il,51
n',ne,60
a,avoir,17
pas,pas,60
le,le,71
temps,temps,21
le,le,71
matin,matin,21
",",",",p
c',ce,52
est,être,17
pour,pour,81
midi,midi,21
",",",",p
rarement,rarement,60
plus,plus,60
tard,tard,60
que,que,83
quatre,quatre,72
heures,heure,22
/.,/.,P
mademoiselle,mademoiselle,22
Balandreau,Balandreau,20
m',je,51
y,y,52
met,mettre,17
du,de,81
du,le,71
suif,suif,21
/.,/.,P
c',ce,52
est,être,17
une,un,71
