11991
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 169e extrait>,<>,<>
marchant,marcher,13
;,;,p
ils,ils,51
ont,avoir,17
de,de,81
si,si,60
gros,gros,30
pieds,pied,21
",",",",p
et,et,82
moi,moi,51
des,de,81
des,le,71
reins,rein,21
si,si,60
frêles,frêle,30
/…,/…,P
vous,vous,51
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
grand,grand,30
",",",",p
mais,mais,82
vous,vous,51
avez,avoir,17
des,de,81
des,le,71
ailes,aile,22
;,;,p
c',ce,52
est,être,17
énorme,énorme,30
/!,/!,P
le,le,71
papillon,papillon,21
/.,/.,P
parbleu,parbleu,93
!,!,p
mon,mon,73
cher,cher,30
",",",",p
si,si,83
ces,ce,74
lourdauds,lourdaud,21
de,de,81
paysans,paysan,21
te,tu,51
font,faire,17
peur,peur,22
",",",",p
grimpe,grimper,17
moi,moi,51
sur,sur,81
le,le,71
dos,dos,21
;,;,p
je,je,51
suis,être,17
très,très,60
fort,fort,30
des,de,81
des,le,71
reins,rein,21
",",",",p
moi,moi,51
!,!,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
des,de,81
des,le,71
ailes,aile,22
en,en,81
pelure,pelure,22
d',de,81
oignon,oignon,21
comme,comme,83
les,le,71
demoiselles,demoiselle,22
/.,/.,P
et,et,82
je,je,51
veux,vouloir,17
te,tu,51
porter,porter,14
où,où,60
tu,tu,51
voudras,vouloir,15
",",",",p
aussi,aussi,60
longtemps,longtemps,60
que,que,83
tu,tu,51
voudras,vouloir,15
/.,/.,P
la,le,71
bête,bête,22
à,à,81
bon,bon,30
dieu,dieu,21
/.,/.,P
oh,oh,93
!,!,p
non,non,60
",",",",p
monsieur,monsieur,21
",",",",p
merci,merci,21
/.,/.,P
je,je,51
n',ne,60
oserai,oser,15
jamais,jamais,60
…,…,p
/!,/!,P
le,le,71
papillon,papillon,21
/.,/.,P
c',ce,52
est,être,17
donc,donc,82
bien,bien,60
difficile,difficile,30
de,de,81
grimper,grimper,14
là,là,60
/?,/?,P
la,le,71
bête,bête,22
à,à,81
bon,bon,30
dieu,dieu,21
/.,/.,P
non,non,60
