11378
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 141e extrait>,<>,<>
de,de,81
supporter,supporter,14
son,son,73
départ,départ,21
;,;,p
mais,mais,82
que,que,83
si,si,83
ce,ce,74
dernier,dernier,30
adieu,adieu,21
n',ne,60
est,être,17
pas,pas,60
accordé,accorder,12
",",",",p
elle,il,51
ne,ne,60
peut,pouvoir,17
répondre,répondre,14
d',de,81
y,y,52
survivre,survivre,14
/.,/.,P
j',je,51
ai,avoir,17
voulu,vouloir,12
détourner,détourner,14
son,son,73
attention,attention,22
",",",",p
mais,mais,82
elle,il,51
me,je,51
répétait,répéter,18
toujours,toujours,60
:,:,p
“,“,p
le,le,52
verrai,voir,15
je,je,51
",",",",p
lui,lui,51
dirai,dire,15
je,je,51
encore,encore,60
adieu,adieu,21
/?,/?,P
“,“,p
et,et,82
mon,mon,73
silence,silence,21
la,le,52
plongeait,plonger,18
dans,dans,81
un,un,71
tel,tel,75
désespoir,désespoir,21
",",",",p
que,que,83
j',je,51
ai,avoir,17
fini,finir,12
par,par,81
lui,lui,51
promettre,promettre,14
que,que,83
je,je,51
consentirais,consentir,16
à,à,81
tout,tout,52
ce,ce,52
que,que,52
voudrait,vouloir,16
monsieur,monsieur,21
de,de,81
Serbellane,Serbellane,20
:,:,p
“,“,p
eh,eh,93
bien,bien,60
!,!,p
dit,dire,19
elle,il,51
alors,alors,60
",",",",p
je,je,51
suis,être,17
tranquille,tranquille,30
",",",",p
car,car,82
je,je,51
lui,lui,51
ai,avoir,17
écrit,écrire,12
des,de,81
des,le,71
prières,prière,22
irrésistibles,irrésistible,30
/.,/.,P
“,“,p
vous,vous,51
trouverez,trouver,15
peut-être,peut-être,60
",",",",p
ma,mon,73
chère,cher,30
Louise,Louise,20
",",",",p
vous,vous,51
qui,qui,52
êtes,être,17
un,un,71
ange,ange,21
de,de,81
bonté,bonté,22
",",",",p
que,que,52
je,je,51
ne,ne,60
devais,devoir,18
pas,pas,60
hésiter,hésiter,14
à,à,81
satisfaire,satisfaire,14
Thérèse,Thérèse,20
",",",",p
surtout,surtout,60
après,après,81
l',le,71
engagement,engagement,21
que,que,52
j',je,51
avais,avoir,18
pris,prendre,12
antérieurement,antérieurement,60
avec,avec,81
elle,il,51
/.,/.,P
faut,falloir,17
il,il,51
vous,vous,51
avouer,avouer,14
le,le,71
sentiment,sentiment,21
qui,qui,52
me,je,51
faisait,faire,18
craindre,craindre,14
de,de,81
consentir,consentir,14
à,à,81
ce,ce,52
qu',que,52
elle,il,51
désirait,désirer,18
/?,/?,P
si,si,83
Léonce,Léonce,20
apprend,apprendre,17
par,par,81
quelque,quelque,75
hasard,hasard,21
que,que,52
j',je,51
ai,avoir,17
réuni,réunir,12
chez,chez,81
moi,moi,51
une,un,71
femme,femme,22
mariée,marié,31
avec,avec,81
son,son,73
amant,amant,21
",",",",p
malgré,malgré,81
