11535
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 137e extrait>,<>,<>
averti,avertir,12
une,un,71
seule,seul,30
fois,fois,22
que,que,83
j',je,51
avais,avoir,18
là,là,60
",",",",p
devant,devant,81
moi,moi,51
",",",",p
de,de,81
ces,ce,74
hardis,hardi,30
partisans,partisan,21
qui,qui,52
avaient,avoir,18
délivré,délivrer,12
Des Touches,Des Touches,20
!,!,p
/…,/…,P
mais,mais,82
",",",",p
mademoiselle,mademoiselle,22
",",",",p
-,-,p
fit,faire,19
il,il,51
encore,encore,60
en,en,81
se,se,51
ravisant,raviser,13
",",",",p
-,-,p
je,je,51
vous,vous,51
demande,demander,17
pardon,pardon,21
",",",",p
je,je,51
n',ne,60
y,y,52
pensais,penser,18
pas,pas,60
/…,/…,P
en,en,81
fait,fait,21
de,de,81
héros,héros,21
",",",",p
les,le,71
chouans,chouan,21
comptaient,compter,18
donc,donc,82
treize,treize,72
à,à,81
la,le,71
douzaine,douzaine,22
",",",",p
puisque,puisque,83
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
dit,dire,12
votre,votre,73
nom,nom,21
parmi,parmi,81
le,le,71
nom,nom,21
des,de,81
des,le,71
douze,douze,72
",",",",p
et,et,82
que,que,83
pourtant,pourtant,60
vous,vous,51
en,en,52
étiez,être,18
/.,/.,P
-,-,p
non,non,60
",",",",p
répondit,répondre,19
la,le,71
vieille,vieux,30
historiographe,historiographe,21
sans,sans,81
plume,plume,22
",",",",p
et,et,82
qui,qui,52
ne,ne,60
l',le,52
était,être,18
que,que,83
de,de,81
bec,bec,21
",",",",p
je,je,51
n',ne,60
en,en,52
étais,être,18
pas,pas,60
",",",",p
monsieur,monsieur,21
de,de,81
Fierdrap,Fierdrap,20
/.,/.,P
je,je,51
ne,ne,60
fus,être,19
point,point,60
de,de,81
la,le,71
première,premier,72
expédition,expédition,22
des,de,81
des,le,71
douze,douze,72
;,;,p
je,je,51
n',ne,60
ai,avoir,17
été,être,12
que,que,83
de,de,81
la,le,71
seconde,second,72
",",",",p
et,et,82
vous,vous,51
saurez,savoir,15
pourquoi,pourquoi,60
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
si,si,83
vous,vous,51
me,je,51
permettez,permettre,17
de,de,81
continuer,continuer,14
/.,/.,P
la,le,71
première,premier,72
ne,ne,60
parut,paraître,19
d'abord,d'abord,60
douteuse,douteux,30
à,à,81
personne,personne,52
/.,/.,P
on,on,51
ne,ne,60
comptait,compter,18
",",",",p
pour,pour,81
toute,tout,75
garnison,garnison,22
à,à,81
Avranches,Avranches,20
",",",",p
que,que,83
ce,ce,74
bataillon,bataillon,21
de,de,81
bleus,bleu,21
",",",",p
qui,qui,52
avaient,avoir,18
pris,prendre,12
Des Touches,Des Touches,20
et,et,82
l',le,52
avaient,avoir,18
amené,amener,12
à,à,81
la,le,71
prison,prison,22
de,de,81
cette,ce,74
ville,ville,22
",",",",p
la,le,71
plus,plus,60
rapprochée,rapproché,31
de,de,81
l',le,71
endroit,endroit,21
où,où,60
ils,ils,51
l',le,52
avaient,avoir,18
surpris,surprendre,12
et,et,82
