11358
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 105e extrait>,<>,<>
entre,entre,81
sa,son,73
famille,famille,22
et,et,82
la,le,71
mienne,mien,52
/.,/.,P
je,je,51
partis,partir,19
peu,peu,60
de,de,81
jours,jour,21
après,après,81
;,;,p
mais,mais,82
j',je,51
avais,avoir,18
déjà,déjà,60
des,de,81
des,le,71
raisons,raison,22
de,de,81
craindre,craindre,14
qu',que,83
il,il,51
n',ne,60
eût,avoir,19
fait,faire,12
une,un,71
impression,impression,22
profonde,profond,30
sur,sur,81
le,le,71
coeur,coeur,21
de,de,81
Thérèse,Thérèse,20
/.,/.,P
depuis,depuis,81
six,six,72
mois,mois,21
elle,il,51
m',je,51
a,avoir,17
souvent,souvent,60
écrit,écrire,12
qu',que,83
elle,il,51
souffrait,souffrir,18
",",",",p
qu',que,83
elle,il,51
était,être,18
malheureuse,malheureux,30
",",",",p
mais,mais,82
sans,sans,81
m',je,51
expliquer,expliquer,14
le,le,71
sujet,sujet,21
de,de,81
ses,son,73
peines,peine,22
/.,/.,P
monsieur,monsieur,21
de,de,81
Serbellane,Serbellane,20
est,être,17
arrivé,arriver,12
à,à,81
Paris,Paris,20
depuis,depuis,81
quelques,quelque,75
jours,jour,21
;,;,p
il,il,51
est,être,17
venu,venir,12
me,je,51
voir,voir,14
",",",",p
et,et,82
ne,ne,60
m',je,51
ayant,avoir,13
point,point,60
trouvée,trouver,12
",",",",p
il,il,51
m',je,51
a,avoir,17
envoyé,envoyer,12
une,un,71
lettre,lettre,22
de,de,81
Thérèse,Thérèse,20
qui,qui,52
contient,contenir,17
son,son,73
histoire,histoire,22
/.,/.,P
monsieur,monsieur,21
de,de,81
Serbellane,Serbellane,20
a,avoir,17
sauvé,sauver,12
son,son,73
mari,mari,21
et,et,82
elle,il,51
",",",",p
un,un,71
mois,mois,21
après,après,81
mon,mon,73
départ,départ,21
",",",",p
des,de,81
des,le,71
dangers,danger,21
que,que,52
leur,leur,52
avait,avoir,18
fait,faire,12
courir,courir,14
la,le,71
haine,haine,22
des,de,81
des,le,71
paysans,paysan,21
contre,contre,81
monsieur,monsieur,21
d',de,81
Ervins,Ervins,20
/.,/.,P
le,le,71
courage,courage,21
",",",",p
le,le,71
sang-froid,sang-froid,21
",",",",p
la,le,71
fermeté,fermeté,22
que,que,52
monsieur,monsieur,21
de,de,81
Serbellane,Serbellane,20
a,avoir,17
montrés,montrer,12
dans,dans,81
cette,ce,74
circonstance,circonstance,22
",",",",p
ont,avoir,17
touché,toucher,12
jusqu',jusque,81
à,à,81
l',le,71
orgueilleuse,orgueilleux,30
vanité,vanité,22
de,de,81
monsieur,monsieur,21
d',de,81
Ervins,Ervins,20
;,;,p
il,il,51
l',le,52
a,avoir,17
prié,prier,12
de,de,81
demeurer,demeurer,14
chez,chez,81
lui,lui,51
;,;,p
il,il,51
y,y,52
a,avoir,17
passé,passer,12
six,six,72
mois,mois,21
",",",",p
et,et,82
Thérèse,Thérèse,20
pendant,pendant,81
ce,ce,74
temps,temps,21
n',ne,60
a,avoir,17
pu,pouvoir,12
résister,résister,14
à,à,81
l',le,71
amour,amour,21
qu',que,52
elle,il,51
ressentait,ressentir,18
:,:,p
les,le,71
remords,remords,21
se,se,51
sont,être,17
bientôt,bientôt,60
emparés,emparer,12
de,de,81
son,son,73
âme,âme,22
;,;,p
sans,sans,81
rien,rien,52
ôter,ôter,14
à,à,81
la,le,71
violence,violence,22
de,de,81
sa,son,73
passion,passion,22
",",",",p
ils,ils,51
multipliaient,multiplier,18
ses,son,73
dangers,danger,21
",",",",p
ils,ils,51
exposaient,exposer,18
son,son,73
secret,secret,21
/.,/.,P
son,son,73
amour,amour,21
et,et,82
