11750
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 193e extrait>,<>,<>
pars,partir,17
pour,pour,81
le,le,71
Breuil,Breuil,20
",",",",p
en,en,81
disant,dire,13
que,que,83
je,je,51
vais,aller,17
jouer,jouer,14
chez,chez,81
le,le,71
petit,petit,30
Grélin,Grélin,20
/.,/.,P
il,il,51
fait,faire,17
nuit,nuit,22
/.,/.,P
je,je,51
traverse,traverser,17
la,le,71
place,place,22
toute,tout,60
noire,noir,30
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
j',je,51
aperçoive,apercevoir,17
les,le,71
lampions,lampion,21
qui,qui,52
brûlent,brûler,17
rouge,rouge,21
dans,dans,81
la,le,71
brume,brume,22
/.,/.,P
la,le,71
musique,musique,22
est,être,17
rentrée,rentrer,12
dans,dans,81
l',le,71
intérieur,intérieur,21
;,;,p
on,on,51
a,avoir,17
commencé,commencer,12
/.,/.,P
j',je,51
entends,entendre,17
claquer,claquer,14
la,le,71
chambrière,chambrière,22
à,à,81
travers,travers,21
la,le,71
toile,toile,22
qui,qui,52
sert,servir,17
de,de,81
mur,mur,21
/.,/.,P
elle,il,51
est,être,17
là,là,60
/!,/!,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
dix,dix,72
sous,sou,21
",",",",p
rien,rien,52
",",",",p
rien,rien,52
!,!,p
…,…,p
que,que,83
mon,mon,73
amour,amour,21
/!,/!,P
je,je,51
fais,faire,17
le,le,71
tour,tour,21
du,de,81
du,le,71
manège,manège,21
",",",",p
je,je,51
colle,coller,17
mon,mon,73
oeil,oeil,21
à,à,81
des,de,81
des,le,71
fentes,fente,22
",",",",p
je,je,51
me,je,51
dresse,dresser,17
sur,sur,81
mes,mon,73
orteils,orteil,21
à,à,81
m',je,51
en,en,52
casser,casser,14
les,le,71
ongles,ongle,21
;,;,p
pas,pas,60
un,un,71
trou,trou,21
pour,pour,81
mon,mon,73
regard,regard,21
de,de,81
flamme,flamme,22
/!,/!,P
par,par,81
ici,ici,60
/…,/…,P
par,par,81
ici,ici,60
la,le,71
toile,toile,22
est,être,17
plus,plus,60
courte,court,30
/.,/.,P
elle,il,51
est,être,17
déchirée,déchirer,12
près,près,81
du,de,81
du,le,71
poteau,poteau,21
",",",",p
et,et,82
en,en,81
déchirant,déchirer,13
encore,encore,60
un,un,71
peu,peu,60
/…,/…,P
j',je,51
ai,avoir,17
élargi,élargir,12
la,le,71
déchirure,déchirure,22
",",",",p
mis,mettre,12
le,le,71
pied,pied,21
-,-,p
je,je,51
veux,vouloir,17
dire,dire,14
passé,passé,31
la,le,71
tête,tête,22
-,-,p
dans,dans,81
le,le,71
chemin,chemin,21
qui,qui,52
conduit,conduire,17
à,à,81
l',le,71
écurie,écurie,22
/.,/.,P
je,je,51
suis,être,17
à,à,81
plein,plein,30
ventre,ventre,21
par,par,81
terre,terre,22
",",",",p
dans,dans,81
la,le,71
boue,boue,22
et,et,82
je,je,51
me,je,51
glisse,glisser,17
comme,comme,83
un,un,71
voleur,voleur,21
",",",",p
comme,comme,83
un,un,71
assassin,assassin,21
",",",",p
la,le,71
nuit,nuit,22
",",",",p
dans,dans,81
un,un,71
cirque,cirque,21
habité,habité,31
/!,/!,P
m',je,51
y,y,52
voici,voici,81
/!,/!,P
je,je,51
rampe,ramper,17
sous,sous,81
les,le,71
planches,planche,22
",",",",p
je,je,51
me,je,51
racle,racler,17
au,à,81
au,le,71
poteau,poteau,21
",",",",p
