11449
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 183e extrait>,<>,<>
avez,avoir,17
tranquillisée,tranquilliser,12
sur,sur,81
cette,ce,74
inquiétude,inquiétude,22
;,;,p
je,je,51
vous,vous,51
remettrai,remettre,15
ma,mon,73
fille,fille,22
",",",",p
la,le,71
fille,fille,22
du,de,81
du,le,71
malheureux,malheureux,21
dont,dont,52
j',je,51
ai,avoir,17
causé,causer,12
la,le,71
mort,mort,22
:,:,p
vous,vous,51
êtes,être,17
bien,bien,60
plus,plus,60
digne,digne,30
que,que,83
moi,moi,51
de,de,81
former,former,14
son,son,73
esprit,esprit,21
et,et,82
son,son,73
âme,âme,22
;,;,p
mon,mon,73
éducation,éducation,22
négligée,négligé,31
ne,ne,60
me,je,51
permet,permettre,17
pas,pas,60
de,de,81
contribuer,contribuer,14
à,à,81
son,son,73
instruction,instruction,22
",",",",p
et,et,82
mon,mon,73
coeur,coeur,21
est,être,17
trop,trop,60
troublé,troubler,12
pour,pour,81
être,être,14
jamais,jamais,60
capable,capable,30
de,de,81
fortifier,fortifier,14
son,son,73
caractère,caractère,21
contre,contre,81
le,le,71
malheur,malheur,21
/.,/.,P
elle,il,51
a,avoir,17
dix,dix,72
ans,an,21
",",",",p
et,et,82
j',je,51
en,en,52
ai,avoir,17
vingt,vingt,72
six,six,72
;,;,p
le,le,71
spectacle,spectacle,21
de,de,81
ma,mon,73
douleur,douleur,22
agit,agir,17
déjà,déjà,60
trop,trop,60
sur,sur,81
ses,son,73
jeunes,jeune,30
organes,organe,21
/.,/.,P
hélas,hélas,60
!,!,p
ma,mon,73
chère,cher,30
Delphine,Delphine,20
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
heureuse,heureux,30
vous-même,vous-même,51
;,;,p
j',je,51
ai,avoir,17
peut-être,peut-être,60
à,à,81
jamais,jamais,60
perdu,perdre,12
votre,votre,73
destinée,destinée,22
:,:,p
mais,mais,82
votre,votre,73
âme,âme,22
",",",",p
plus,plus,60
habituée,habitué,31
que,que,83
la,le,71
mienne,mien,52
à,à,81
la,le,71
réflexion,réflexion,22
",",",",p
sait,savoir,17
mieux,mieux,60
contenir,contenir,14
aux,à,81
aux,le,71
regards,regard,21
d',de,81
un,un,71
enfant,enfant,21
les,le,71
sentiments,sentiment,21
qu',que,52
il,il,51
faut,falloir,17
lui,lui,51
laisser,laisser,14
