11407
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 170e extrait>,<>,<>
quand,quand,83
je,je,51
sortis,sortir,19
de,de,81
la,le,71
rôtisserie,rôtisserie,22
",",",",p
il,il,51
faisait,faire,18
nuit,nuit,22
noire,noir,30
/.,/.,P
quand,quand,83
je,je,51
sortis,sortir,19
de,de,81
la,le,71
rôtisserie,rôtisserie,22
",",",",p
il,il,51
faisait,faire,18
nuit,nuit,22
noire,noir,30
/.,/.,P
à,à,81
l',le,71
angle,angle,21
de,de,81
la,le,71
rue,rue,22
des,de,81
des,le,71
écrivains,écrivain,21
",",",",p
j',je,51
entendis,entendre,19
une,un,71
voix,voix,22
grasse,gras,30
et,et,82
profonde,profond,30
qui,qui,52
chantait,chanter,18
:,:,p
si,si,83
ton,ton,73
honneur,honneur,21
elle,il,51
est,être,17
perdue,perdre,12
",",",",p
la,le,71
belle,belle,22
",",",",p
c',ce,52
est,être,17
qu',que,83
tu,tu,51
l',le,52
as,avoir,17
bien,bien,60
voulu,vouloir,12
/.,/.,P
et,et,82
je,je,51
ne,ne,60
tardai,tarder,19
pas,pas,60
à,à,81
voir,voir,14
",",",",p
du,de,81
du,le,71
côté,côté,21
d',de,81
où,où,60
venait,venir,18
cette,ce,74
voix,voix,22
",",",",p
frère,frère,21
Ange,Ange,20
qui,qui,52
",",",",p
son,son,73
bissac,bissac,21
ballant,baller,13
sur,sur,81
l',le,71
épaule,épaule,22
",",",",p
et,et,82
tenant,tenir,13
par,par,81
la,le,71
taille,taille,22
Catherine,Catherine,20
la,le,71
dentellière,dentellière,22
",",",",p
marchait,marcher,18
dans,dans,81
l',le,71
ombre,ombre,22
d',de,81
un,un,71
pas,pas,21
chancelant,chancelant,30
et,et,82
triomphal,triomphal,30
",",",",p
faisant,faire,13
jaillir,jaillir,14
sous,sous,81
ses,son,73
sandales,sandale,22
l',le,71
eau,eau,22
du,de,81
du,le,71
ruisseau,ruisseau,21
en,en,81
magnifiques,magnifique,30
gerbes,gerbe,22
de,de,81
boue,boue,22
qui,qui,52
semblaient,sembler,18
célébrer,célébrer,14
sa,son,73
gloire,gloire,22
crapuleuse,crapuleux,30
",",",",p
comme,comme,83
les,le,71
bassins,bassin,21
de,de,81
Versailles,Versailles,20
font,faire,17
jouer,jouer,14
leurs,leur,73
machines,machine,22
en,en,81
l',le,71
honneur,honneur,21
des,de,81
des,le,71
rois,roi,21
/.,/.,P
je,je,51
me,je,51
rangeai,ranger,19
contre,contre,81
une,un,71
borne,borne,22
dans,dans,81
un,un,71
coin,coin,21
de,de,81
porte,porte,22
",",",",p
pour,pour,81
qu',que,83
ils,ils,51
ne,ne,60
me,je,51
vissent,visser,17
point,point,60
/.,/.,P
c',ce,52
était,être,18
prendre,prendre,14
un,un,71
soin,soin,21
inutile,inutile,30
",",",",p
car,car,82
ils,ils,51
étaient,être,18
assez,assez,60
occupés,occuper,12
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
/.,/.,P
la,le,71
tête,tête,22
renversée,renversé,31
sur,sur,81
l',le,71
épaule,épaule,22
du,de,81
du,le,71
moine,moine,21
",",",",p
Catherine,Catherine,20
riait,rire,18
/.,/.,P
un,un,71
rayon,rayon,21
de,de,81
lune,lune,22
tremblait,trembler,18
sur,sur,81
ses,son,73
lèvres,lèvre,22
humides,humide,30
et,et,82
dans,dans,81
ses,son,73
yeux,oeil,21
comme,comme,83
dans,dans,81
l',le,71
eau,eau,22
des,de,81
des,le,71
fontaines,fontaine,22
/.,/.,P
et,et,82
je,je,51
poursuivis,poursuivre,19
mon,mon,73
chemin,chemin,21
",",",",p
l',le,71
âme,âme,22
irritée,irrité,31
et,et,82
le,le,71
coeur,coeur,21
serré,serré,31
",",",",p
songeant,songer,13
