11985
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 140e extrait>,<>,<>
avec,avec,81
lequel,lequel,52
le,le,71
général,général,21
était,être,18
sorti,sortir,12
de,de,81
la,le,71
tente,tente,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
votre,votre,73
honneur,honneur,21
",",",",p
dit,dire,19
le,le,71
sergent,sergent,21
",",",",p
c',ce,52
est,être,17
lui-même,lui-même,51
/.,/.,P
-,-,p
mais,mais,82
",",",",p
dit,dire,19
Athos,Athos,20
avec,avec,81
hauteur,hauteur,22
",",",",p
je,je,51
ne,ne,60
le,le,52
nie,nier,17
pas,pas,60
",",",",p
ce,ce,52
me,je,51
semble,sembler,17
;,;,p
et,et,82
maintenant,maintenant,60
",",",",p
messieurs,monsieur,21
",",",",p
à,à,81
mon,mon,73
tour,tour,21
",",",",p
permettez,permettre,17
moi,moi,51
de,de,81
vous,vous,51
demander,demander,14
à,à,81
quoi,quoi,52
bon,bon,60
toutes,tout,75
ces,ce,74
questions,question,22
",",",",p
et,et,82
surtout,surtout,60
quelques,quelque,75
explications,explication,22
sur,sur,81
le,le,71
ton,ton,21
avec,avec,81
lequel,lequel,52
vous,vous,51
les,le,52
demandez,demander,17
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
lieutenant,lieutenant,21
",",",",p
si,si,83
nous,nous,51
vous,vous,51
adressons,adresser,17
ces,ce,74
questions,question,22
",",",",p
c',ce,52
est,être,17
que,que,83
nous,nous,51
avons,avoir,17
le,le,71
droit,droit,21
de,de,81
les,le,52
faire,faire,14
",",",",p
et,et,82
si,si,83
nous,nous,51
vous,vous,51
les,le,52
faisons,faire,17
avec,avec,81
ce,ce,74
ton,ton,21
",",",",p
c',ce,52
est,être,17
que,que,83
ce,ce,74
ton,ton,21
convient,convenir,17
",",",",p
croyez,croire,17
moi,moi,51
",",",",p
à,à,81
la,le,71
situation,situation,22
/.,/.,P
-,-,p
messieurs,monsieur,21
",",",",p
dit,dire,19
Athos,Athos,20
",",",",p
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
qui,qui,52
je,je,51
suis,être,17
",",",",p
mais,mais,82
ce,ce,52
que,que,52
je,je,51
dois,devoir,17
vous,vous,51
dire,dire,14
",",",",p
c',ce,52
est,être,17
que,que,83
je,je,51
ne,ne,60
reconnais,reconnaître,17
ici,ici,60
pour,pour,81
mon,mon,73
égal,égal,21
que,que,83
le,le,71
général,général,21
