11376
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - 135e extrait>,<>,<>
sont,être,17
guère,guère,60
moins,moins,60
bouffonnes,bouffon,30
que,que,83
ne,ne,60
l',le,52
était,être,18
celle-là,celui-là,52
/.,/.,P
mes,mon,73
paroles,parole,22
confiantes,confiant,30
rendirent,rendre,19
du,de,81
du,le,71
calme,calme,21
à,à,81
madame,madame,22
de,de,81
Couaën,Couaën,20
;,;,p
elle,il,51
vit,voir,19
l',le,71
ami,ami,21
de,de,81
Fitzgerald,Fitzgerald,20
;,;,p
je,je,51
la,le,52
conduisis,conduire,19
elle-même,lui-même,51
chez,chez,81
monsieur,monsieur,21
D,D,20
/…,/…,P
le,le,71
marquis,marquis,21
cessa,cesser,19
bientôt,bientôt,60
d',de,81
être,être,14
au,à,81
au,le,71
secret,secret,21
",",",",p
et,et,82
nous,nous,51
pûmes,pouvoir,19
l',le,71
aller,aller,21
embrasser,embrasser,14
chaque,chaque,75
jour,jour,21
en,en,81
voisins,voisin,21
à,à,81
la,le,71
prison,prison,22
de,de,81
Sainte-Pélagie,Sainte-Pélagie,20
",",",",p
où,où,60
il,il,51
avait,avoir,18
été,être,12
transféré,transférer,12
sur,sur,81
notre,notre,73
demande,demande,22
/.,/.,P
la,le,71
première,premier,72
fois,fois,22
que,que,83
nous,nous,51
le,le,52
retrouvâmes,retrouver,19
",",",",p
s',si,83
il,il,51
me,je,51
frappa,frapper,19
plus,plus,60
que,que,83
jamais,jamais,60
par,par,81
la,le,71
froideur,froideur,22
et,et,82
l',le,71
étendue,étendue,22
de,de,81
son,son,73
affliction,affliction,22
comprimée,comprimé,31
",",",",p
par,par,81
les,le,71
grands,grand,30
traits,trait,21
creusés,creusé,31
de,de,81
son,son,73
visage,visage,21
",",",",p
par,par,81
son,son,73
majestueux,majestueux,30
front,front,21
encore,encore,60
élargi,élargi,31
sous,sous,81
des,de,81
des,le,71
cheveux,cheveu,21
plus,plus,60
rares,rare,30
",",",",p
par,par,81
l',le,71
outrage,outrage,21
envahissant,envahissant,30
de,de,81
ses,son,73
tempes,tempe,22
qu',que,52
habitait,habiter,18
depuis,depuis,81
tant,tant,60
de,de,81
nuits,nuit,22
la,le,71
douleur,douleur,22
:,:,p
car,car,82
c',ce,52
est,être,17
là,là,60
",",",",p
toujours,toujours,60
là,là,60
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
défaut,défaut,21
des,de,81
des,le,71
tempes,tempe,22
et,et,82
des,de,81
des,le,71
paupières,paupière,22
",",",",p
comme,comme,83
à,à,81
une,un,71
vitre,vitre,22
transparente,transparent,30
",",",",p
que,que,83
mon,mon,73
oeil,oeil,21
va,aller,17
lire,lire,14
d'abord,d'abord,60
l',le,71
état,état,21
vrai,vrai,30
d',de,81
un,un,71
ami,ami,21
/.,/.,P
il,il,51
s',se,51
était,être,18
fait,faire,12
évidemment,évidemment,60
dans,dans,81
cette,ce,74
âme,âme,22
virile,viril,30
une,un,71
dernière,dernière,22
",",",",p
une,un,71
complète,complet,30
ruine,ruine,22
d',de,81
ambition,ambition,22
et,et,82
d',de,81
espérance,espérance,22
",",",",p
un,un,71
ensevelissement,ensevelissement,21
",",",",p
en,en,81
idée,idée,22
",",",",p
de,de,81
cette,ce,74
gloire,gloire,22
qu',que,52
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
eue,avoir,12
/.,/.,P
ce,ce,74
noble,noble,30
coeur,coeur,21
d',de,81
un,un,71
Charles Quint,Charles Quint,20
sans,sans,81
empire,empire,21
avait,avoir,18
pris,prendre,12
au-dedans,au-dedans,60
le,le,71
cilice,cilice,21
",",",",p
mais,mais,82
un,un,71
cilice,cilice,21
sans,sans,81
religion,religion,22
/.,/.,P
pour,pour,81
moi,moi,51
qui,qui,52
m',je,51
attachais,attacher,18
",",",",p
comme,comme,83
Caleb,Caleb,20
",",",",p
à,à,81
ses,son,73
pensées,pensée,22
",",",",p
son,son,73
deuil,deuil,21
muet,muet,30
me,je,51
sembla,sembler,19
d',de,81
un,un,71
caractère,caractère,21
durable,durable,30
",",",",p
indélébile,indélébile,30
",",",",p
égal,égal,30
à,à,81
celui,celui,52
de,de,81
tout,tout,75
conquérant,conquérant,21
dépossédé,dépossédé,31
:,:,p
quelque,quelque,75
abîme,abîme,21
s',se,51
était,être,18
ouvert,ouvrir,12
en,en,81
lui,lui,51
dans,dans,81
cette,ce,74
convulsion,convulsion,22
sourde,sourd,30
",",",",p
un,un,71
abîme,abîme,21
qu',que,52
on,on,51
voile,voiler,17
aux,à,81
aux,le,71
yeux,oeil,21
",",",",p
mais,mais,82
que,que,52
rien,rien,52
ne,ne,60
comble,combler,17
plus,plus,60
/.,/.,P
le,le,71
marquis,marquis,21
d',de,81
ailleurs,ailleurs,60
fut,être,19
simple,simple,30
avec,avec,81
nous,nous,51
",",",",p
il,il,51
fut,être,19
tendre,tendre,30
:,:,p
“,“,p
eh,eh,93
bien,bien,60
!,!,p
vous,vous,51
me,je,51
voyez,voir,17
guéri,guéri,31
",",",",p
me,je,51
dit,dire,19
il,il,51
en,en,81
me,je,51
